generation,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina
1,1231.361926,3092151.965231,29.608868,0.874100,8
2,779.593676,447221.261318,29.180845,0.909855,8
3,753.531335,185715.383610,29.466688,0.893394,8
4,783.696457,394311.152369,29.136896,0.904139,8
5,878.125460,650965.649377,28.824200,0.935479,10
6,893.784251,440344.384707,29.306544,0.921496,8
7,1606.723862,8867448.042097,28.874341,0.943260,8
8,817.850362,702688.252697,28.884435,0.904541,8
9,804.672725,521683.095637,29.019739,0.923275,7
10,2000.424072,27577863.607815,28.807920,0.916549,4
11,1318.935246,3754329.807427,29.037424,0.872531,5
12,2481.311338,32944428.235560,28.165371,0.987658,8
13,1681.502252,9560353.654392,28.251516,0.975308,11
14,2229.371673,12894443.427212,28.314560,0.986771,8
15,4860.795146,109625119.954060,27.302950,1.034833,12
16,1370.938666,6277613.165044,27.806389,0.978719,8
17,3356.631529,56013709.432477,27.302813,1.053643,7
18,5828.312810,244453182.850104,27.675081,0.990330,6
19,11081.322495,598251722.846544,26.257176,1.083071,10
20,8476.616530,472033952.964417,26.147684,1.115216,9
21,10968.874288,598975676.898294,25.650141,1.121042,13
22,7422.348263,513352080.045687,25.648305,1.124394,11
23,12989.455462,981664091.558070,26.362296,1.108982,3
24,9083.446662,221030425.584264,25.203905,1.257692,3
25,11214.058491,729109487.732124,25.342309,1.221804,11
26,13445.021918,1084682696.308991,25.434615,1.162035,7
27,24131.548371,1801353565.481588,24.047656,1.297180,6
28,19508.695590,906091729.124621,24.370510,1.234948,4
29,23686.948788,1926580591.995479,24.108711,1.334297,3
30,26170.618450,1540751983.928258,23.407539,1.394802,7
31,24996.399615,1614131530.748261,23.992155,1.324512,3
32,25849.964079,1662565006.528041,23.206950,1.455425,8
33,22243.463655,1629979906.493770,24.080121,1.322439,8
34,22784.454158,1806748329.834058,23.379388,1.410291,6
35,23133.020195,1504305433.573950,23.612218,1.429118,14
36,31623.465709,2123371983.469964,22.706659,1.508182,8
37,27179.615418,2242483781.044256,23.948762,1.330241,3
38,26742.519201,2116756825.984133,22.830602,1.478709,8
39,31928.202004,2247813105.473533,23.580391,1.337466,12
40,27817.185412,1465205670.613270,23.552250,1.393046,3
41,23456.445884,1851669023.954526,22.575022,1.574362,1
42,37524.236264,2241392902.180784,21.993383,1.606634,3
