generation,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina
1,142.623863,10972.126573,16.941721,5.013810,4
2,145.002350,13311.695220,17.890336,4.890730,4
3,143.099959,11960.461114,17.568649,4.670953,4
4,142.442850,10596.767325,17.908137,4.792078,4
5,143.801074,13748.070258,17.498434,4.865855,4
6,140.295540,8638.639896,18.569243,5.117354,3
7,152.824212,21065.098023,20.151332,3.958705,4
8,149.958761,8675.378849,20.399321,3.665367,4
9,153.392011,19956.697344,18.122040,5.230873,4
10,151.899858,10295.501266,20.347891,3.425049,4
11,155.561816,12828.214445,21.148267,3.223728,4
12,157.227641,13217.075078,21.952372,3.569959,4
13,147.732626,10319.300196,22.528879,2.908555,3
14,152.562076,12223.173837,22.510974,3.762517,4
15,150.813925,9834.598858,19.996632,3.380296,4
16,157.874679,12800.084090,22.912105,2.571387,3
17,170.473156,10472.903556,22.410812,2.348598,4
18,151.923230,7702.874356,22.230976,2.914959,4
19,154.780571,12124.816627,21.523741,3.444243,4
20,160.438087,11459.856165,22.313931,3.138831,6
21,179.612069,18016.676718,23.475021,1.774414,5
22,150.717927,9340.904944,21.245862,3.579033,3
23,160.811829,15905.156630,23.609111,2.343775,3
24,163.447018,18288.973427,21.522814,3.501115,2
25,159.326625,9136.026734,22.835991,2.417209,4
26,159.223635,11531.452648,22.036138,2.682913,5
27,178.600276,34077.103664,21.697417,2.665828,4
28,163.066224,12533.054870,22.332940,2.363694,3
29,162.493995,21389.516388,22.206681,2.554830,4
30,167.969524,16545.660802,22.528408,2.465333,5
31,160.125589,8793.377558,22.112755,2.459403,3
32,186.071266,27740.656274,23.516706,1.844872,2
33,153.166645,20130.448617,21.274294,3.221280,3
34,158.714488,26133.717527,21.341776,3.906174,4
35,156.719061,18549.190198,20.271853,4.527270,5
36,154.239112,13735.216969,21.998093,3.166237,3
37,151.554185,14341.864223,19.989088,4.293607,2
38,147.629264,9372.296831,19.105958,4.395077,4
39,153.241438,10071.497183,21.283971,3.334243,4
40,152.665417,8752.309934,21.278035,3.519678,4
41,149.720339,12713.720257,19.810494,4.256383,2
42,148.465460,10964.615584,20.182444,4.161914,4
43,159.730899,19821.441187,19.994710,3.710922,3
44,144.731239,9645.066362,18.164770,4.956642,1
45,143.897426,7894.770758,19.665889,4.476248,3
46,150.233103,11539.420330,20.448242,3.512134,6
47,147.714247,12990.860907,19.385383,3.746568,4
48,145.580545,6440.180366,20.315751,3.917012,1
