generation,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina
1,277.206405,19741.367980,25.360312,1.190947,7
2,294.586328,21877.260578,25.496335,1.152482,8
3,276.440006,16691.804779,25.318418,1.250262,7
4,478.108191,158227.248084,26.217137,1.096827,7
5,279.398445,18071.677410,25.782844,1.184395,7
6,453.420330,264302.691654,26.280197,1.143529,7
7,1730.934946,10476958.347503,25.066457,1.152314,7
8,955.751252,3597748.738708,25.602241,1.101175,7
9,338.119736,37854.588869,26.166312,1.102479,7
10,380.283541,46514.069723,25.734411,1.086715,10
11,407.918172,88642.535144,26.342459,1.109636,7
12,368.540895,42678.037074,26.190238,1.093724,7
13,656.584744,494936.686882,25.825983,1.050598,4
14,472.230862,124227.486828,25.938765,1.093376,7
15,445.919899,102407.569169,26.231406,1.103259,5
16,557.861386,230111.548498,26.086606,1.028846,5
17,1442.557509,14708418.655329,25.545433,1.072212,9
18,503.190121,131898.040047,26.339823,1.034918,7
19,340.151752,20381.250237,26.366552,1.051354,5
20,1139.462538,3098192.611219,27.037141,1.030497,6
21,349.860020,28868.385580,26.313633,1.103865,5
22,457.221065,55402.371354,26.629793,1.068286,1
23,558.338947,125687.999609,26.479067,0.996424,6
24,561.343085,163224.462144,26.822059,1.063772,7
25,496.095391,208177.003792,27.408458,0.975781,7
26,1959.512708,19470323.887341,25.915110,1.090261,6
27,522.776679,107579.107756,27.172711,1.036671,9
28,384.348658,35117.576442,25.659563,1.110761,7
29,368.475745,31304.479106,27.016821,1.061143,5
30,534.786754,340440.529492,26.530233,1.039663,7
31,343.277410,36541.574746,27.015620,1.007305,8
32,738.184119,658949.654509,26.351347,1.058664,7
33,679.485309,554923.737457,26.028380,1.054644,6
34,333.899093,23439.807090,25.698070,1.153247,6
35,502.983342,139095.617245,26.254502,1.035565,8
36,346.300123,25431.637963,25.905455,1.078521,7
37,709.067279,420501.054891,26.307595,1.086931,2
38,766.683420,928601.745423,26.442044,1.093421,7
