generation,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina
1,529.074497,88124.960375,29.189216,0.897541,10
2,499.693065,172477.406226,29.325530,0.887635,7
3,534.579316,163227.447412,29.482936,0.876243,10
4,518.544500,105757.692893,29.002233,0.907810,10
5,436.153973,64382.645456,29.128913,0.920126,10
6,535.136321,194297.710118,28.951160,0.909206,6
7,496.599596,116160.477734,28.914710,0.918260,10
8,513.022626,110838.290851,29.178127,0.891239,10
9,515.175329,100000.645060,29.515785,0.881834,10
10,570.672637,214640.454870,29.452618,0.888860,7
11,510.530417,93985.886354,29.167656,0.888336,8
12,461.510844,62303.604221,29.316830,0.874425,10
13,427.499641,61284.078732,29.357782,0.925363,10
14,551.967579,120969.209672,29.208281,0.919223,5
15,568.943605,183196.860000,29.118724,0.888682,7
16,543.150067,176535.678220,29.295698,0.879800,7
17,545.007636,168720.793318,29.271484,0.923030,7
18,555.170119,182232.531471,29.070720,0.901366,7
19,574.558959,216718.057248,28.772169,0.913288,3
20,660.736383,445988.997244,29.339031,0.919992,12
21,555.862480,182398.947470,28.800053,0.910594,7
22,614.842866,227489.399005,28.688190,0.923674,8
23,667.867846,378465.653751,28.871935,0.907836,8
24,476.166318,89936.479157,29.422056,0.893979,9
25,524.656178,167718.560762,28.562315,0.949147,7
26,595.441618,152529.105288,29.146367,0.918878,14
27,652.514005,395248.226038,28.511544,0.944721,8
28,649.501670,321109.790725,28.965294,0.900087,13
29,569.294174,152478.252871,29.293048,0.907193,10
30,609.650691,166240.729383,29.335277,0.899572,10
31,727.250822,878502.317037,29.212340,0.897522,6
32,553.043286,141766.448899,29.067133,0.901512,6
33,588.915677,160209.889896,29.265247,0.898789,10
34,450.761576,64466.682826,29.325224,0.881921,8
35,685.921803,452166.903577,28.895515,0.917975,17
36,543.047284,131321.288548,29.202420,0.901949,4
37,444.293936,65270.401630,29.333637,0.886103,6
38,545.468990,166614.865017,28.789366,0.923606,3
39,548.589820,339923.027657,29.137149,0.933286,1
40,521.412969,119810.191899,29.178826,0.894795,6
41,542.669118,177596.431937,29.293365,0.876595,12
42,521.742960,132259.242210,28.963625,0.921104,6
43,514.929498,178058.035633,29.589801,0.879512,9
44,474.054244,89087.863627,29.319554,0.899309,8
45,558.504801,128398.321283,29.231317,0.873682,10
46,534.283709,179093.776278,28.847527,0.896653,5
47,534.436936,104178.863472,29.029740,0.903143,7
48,562.695584,193526.638437,29.559452,0.876214,10
49,605.594374,485884.490365,29.395324,0.890052,6
50,512.937722,97483.276561,28.995029,0.914741,11
51,560.511159,223162.676891,29.229045,0.895928,7
52,470.385066,64013.076020,28.856707,0.916821,14
53,586.505523,248553.072076,29.174830,0.879671,5
54,457.357247,75672.451224,28.901106,0.909350,8
55,562.880064,137350.443314,29.106152,0.902439,9
56,569.550276,241005.838585,28.958392,0.903274,8
57,471.769013,83300.368800,29.236594,0.891674,4
58,625.174681,321949.441576,29.115554,0.924741,3
59,592.477949,178981.815021,29.077381,0.904157,11
60,574.151812,188717.162787,28.640731,0.940115,3
61,491.480930,70819.732319,29.153219,0.905565,8
62,464.038544,78841.410763,29.596943,0.861474,6
63,583.170915,242231.675746,28.797918,0.908732,5
64,515.116438,141660.624796,29.151641,0.900441,11
65,457.594622,89297.726609,28.864135,0.939875,9
66,473.811934,76732.501775,29.217860,0.882221,6
67,474.519721,68180.787304,28.896029,0.923874,11
68,522.963830,113633.428957,29.132938,0.906776,7
69,498.788925,132323.262785,29.512444,0.860326,7
70,541.202212,130693.685175,28.929407,0.901028,6
71,538.170511,119828.711686,29.365047,0.904592,8
72,496.900325,161432.350267,29.034867,0.927037,1
73,575.954474,153158.203957,29.175002,0.906086,2
74,579.167270,124055.906261,29.027984,0.938280,8
75,603.468215,215742.746224,28.985540,0.891297,8
76,569.593230,158249.018823,28.900951,0.948727,12
77,581.143194,191010.408986,28.969356,0.909244,6
78,597.272276,263481.845983,29.499903,0.866117,2
79,588.659977,364264.231024,29.262456,0.901747,0
80,574.767264,188749.770830,28.860371,0.923144,10
81,806.477062,748851.215661,29.053446,0.921688,6
82,592.795636,212402.382743,29.570188,0.857433,10
83,538.217034,103949.506921,28.872502,0.937599,6
84,440.614206,57099.859878,29.204573,0.881055,9
85,544.726793,146913.689001,29.045837,0.944198,12
86,521.804129,95987.006252,29.210893,0.919809,7
87,572.311420,109711.618118,29.493867,0.909438,8
88,522.909672,140780.668065,29.375828,0.892585,8
89,545.432987,140844.241291,28.771011,0.926561,7
90,614.932189,188199.774285,28.966974,0.916448,6
91,609.532213,216858.161288,28.962381,0.910130,6
92,551.548917,127687.697940,28.854629,0.929369,6
93,513.533315,99862.611499,29.028055,0.931210,1
94,628.581982,227382.876479,28.650681,0.919266,6
95,503.071785,164688.539642,29.125147,0.864987,6
96,510.248832,112818.148596,29.309425,0.888720,10
97,557.887343,137459.731918,29.360576,0.912851,9
98,467.826441,83735.964319,29.159274,0.924368,5
99,540.162363,119128.260450,29.475206,0.882273,8
100,508.249099,155909.213494,28.946698,0.900867,1
101,551.266593,163957.676205,28.853809,0.930092,8
102,520.775463,104600.682086,29.373827,0.872748,6
103,505.140212,98931.124182,29.235311,0.908526,1
104,490.295120,141228.220258,28.540085,0.944427,7
105,510.339718,112277.286777,28.683371,0.928314,5
106,525.873701,163302.566541,28.784826,0.954496,2
107,489.417460,101153.720621,28.845396,0.925378,0
108,517.229398,190256.728616,29.373501,0.883727,6
109,521.662415,133231.796822,29.397059,0.914369,4
110,466.088441,84354.608259,29.394338,0.877440,2
111,471.441908,95120.192633,29.158766,0.898213,9
112,471.142566,92619.560112,28.953292,0.922353,6
113,504.938582,110918.526290,29.127950,0.904810,1
114,444.954648,68531.911853,28.695362,0.924113,6
115,532.180681,172661.751235,29.062400,0.896018,1
116,427.468001,73697.969605,28.908393,0.937320,8
117,498.148494,121168.468587,28.848515,0.918310,8
118,558.634836,245019.481772,29.394405,0.890450,14
