generation,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina
1,1028.604329,1502101.146185,26.855812,1.030279,12
2,963.249314,1408333.856008,26.591741,1.084030,12
3,665.692022,390481.712936,26.659787,1.055474,12
4,1343.996542,7148192.297276,27.125770,1.074729,12
5,910.158388,2034799.262906,26.832376,1.075765,12
6,4668.865302,198349486.101883,26.246200,1.076840,9
7,3078.398411,105540731.646072,25.708938,1.154159,9
8,4832.049549,133978194.866189,25.670374,1.184344,9
9,8253.101683,450322936.246649,25.485293,1.156487,9
10,10000.175928,618173597.485502,25.097847,1.228954,12
11,14422.343982,1160018435.881815,24.412572,1.354119,2
12,27636.532397,2276065912.532365,23.301150,1.481758,6
13,21408.452940,1422051836.773008,23.799560,1.426423,10
14,21308.509327,1345457921.232503,23.501335,1.483589,12
15,26707.263602,2010715819.207277,22.584858,1.643145,11
16,29738.740652,2049158686.942441,22.735490,1.555652,12
17,30887.520962,1621678287.140603,21.140683,1.995562,8
18,26055.977441,1983793213.789909,22.223532,1.734607,9
19,31273.866114,1962747413.493575,21.837717,1.737747,12
20,30083.479620,1712805995.676675,22.209488,1.728322,12
21,33238.833747,2022830783.221044,21.933362,1.764139,6
22,35324.187073,2171087983.697524,22.143084,1.678368,9
23,24335.004842,1629964085.561280,22.031381,1.881901,12
24,38012.799600,1986974380.766535,20.198950,2.225223,5
25,37515.109940,2248584475.344841,21.561426,1.801642,3
26,29897.277592,1731251723.591018,21.772251,1.832535,4
27,34628.992462,1900725733.298722,20.135334,2.260752,9
28,27808.515262,1611268444.046092,19.209160,2.823778,15
29,32485.291810,1663772894.962698,18.551146,3.356484,5
30,31907.661041,1450941100.097312,18.365567,3.342237,3
31,38477.873824,1519037507.175123,17.150068,3.750026,12
32,38077.564497,1789070688.396711,16.371015,5.539639,3
33,33689.486397,1504213340.578898,15.622273,6.615799,8
34,37643.876497,1565810647.531434,14.755695,7.858619,3
35,39344.600739,1751697698.277146,13.890931,9.329209,3
36,37608.386475,1600745485.340436,14.134827,8.467974,3
37,36282.798940,1509292481.776518,14.406978,8.781205,6
38,36290.597672,1942340398.623981,14.274060,8.889840,6
39,28464.141828,869221847.004445,14.454700,8.666175,3
40,30579.133247,1419494256.066559,13.660438,10.177831,3
41,33970.859687,1462184101.275530,13.649028,10.161589,6
42,39902.385252,1935148535.966109,13.376977,11.588994,6
43,35671.053457,1665199113.316424,14.333124,9.120734,5
44,28118.619103,963714242.517633,13.477390,10.781067,6
45,34217.081832,1735158972.736548,13.105248,11.437770,6
46,30830.989478,1463172006.730850,11.771003,15.232243,6
47,35468.692595,1582950897.727854,11.982947,14.323423,3
48,32718.258041,1356452613.637459,12.095608,13.783985,6
49,35789.435364,1470924140.349491,12.432752,12.603348,6
50,30594.536516,1330994724.186999,12.543012,12.904369,3
51,30854.989074,1222769031.182393,12.429124,13.185837,7
52,32449.672235,1703069901.614572,12.672988,12.813466,3
53,36903.939554,1625044502.841237,12.477375,12.561878,3
54,33587.239720,1384114357.601005,11.781577,15.186856,3
55,32992.748513,1468050146.721305,12.634593,12.876932,2
56,29481.402927,1555941942.810525,12.161194,15.078978,13
57,30686.533751,1306518127.841074,12.313555,14.580900,8
58,27136.905884,1231513099.010460,12.352849,13.961585,6
59,33269.350520,1608639718.258932,12.375234,13.430970,6
60,33653.587716,1604216000.600716,12.233098,13.767067,2
61,29868.214238,1252850129.808964,11.968493,13.122516,6
62,31710.727358,1232987190.689255,12.385604,13.167714,3
63,32800.994731,1537217492.621502,11.706984,14.410563,6
64,30371.845044,1259646132.668912,12.053864,14.260404,4
65,33061.801036,1414214875.520390,11.819583,14.114371,6
66,28229.046319,1144672526.178337,11.680498,15.518018,3
67,29972.164968,1165985684.317901,11.969462,13.760928,7
68,31856.482202,1240135157.180362,11.835629,14.164789,6
69,27427.268288,1356291484.384376,12.189239,14.372339,3
70,30986.800410,1376908145.622112,11.896329,13.984023,7
71,30711.063292,1545733834.323236,11.577264,15.764946,7
72,33436.728107,1517550648.325449,11.176652,15.856466,7
73,31433.948508,1304076381.822981,11.410449,15.171055,6
74,31728.958685,1531908917.188637,12.037033,15.751594,7
75,29178.818304,1381958013.089524,12.086428,14.643905,3
76,29158.930432,1423653561.340514,11.791948,15.315235,3
77,29812.284573,1326468491.269409,11.839958,15.672817,1
78,31055.673602,1371607622.487033,11.881715,14.546466,3
79,31900.081244,1414080249.212904,11.572503,16.505547,3
80,31683.229183,1437464055.373404,11.275285,16.839019,3
81,36080.165098,1649904024.253545,10.864560,17.538941,3
82,32485.802156,1434559001.085452,11.964291,15.135946,3
83,29885.931003,1280307101.168123,11.508532,16.561005,3
84,31016.805635,1301480772.904959,11.992874,14.717104,1
85,31151.493744,1419355517.268820,12.041474,14.367375,2
86,35965.095319,1738080779.926954,11.639878,14.804724,6
87,31575.366018,1643768029.275131,11.738706,15.852600,3
88,32533.524296,1679810499.047320,11.802657,15.761263,5
89,30887.398252,1158616520.340446,12.119573,14.029087,3
90,31935.245436,1404181025.487506,12.254312,14.787523,2
91,32689.326338,1581596376.233191,11.683189,15.091530,3
92,28570.402443,1460263142.812166,11.575153,17.301741,5
93,30782.651837,1327745451.534126,11.099863,16.456505,2
94,26480.611744,832329977.380777,11.501537,15.662757,2
95,29917.166810,1490271127.093258,11.889117,15.251126,3
96,32701.902865,1483082808.958220,10.887038,16.789030,5
97,31118.407021,1455947988.690732,11.932760,15.173454,5
98,28962.622770,1337862587.711700,11.869322,15.797744,4
99,26391.548901,1366642633.993753,11.654640,18.161645,5
100,30862.416468,1457456960.491771,12.239777,14.387982,1
101,27600.321111,1180731755.805129,10.649475,19.000660,5
102,30969.045584,1238971698.483941,11.811948,15.975727,3
103,30849.017250,1331122718.925287,11.549371,16.462607,3
104,26640.787751,1267026984.909073,11.378790,17.327342,5
105,29372.942975,1249589914.098622,10.887643,17.386942,2
106,31952.294179,1604726260.600596,10.673542,19.393516,1
107,30769.188252,1138994956.746702,11.398047,15.850255,3
108,25347.698833,1159927426.054374,11.538343,17.831340,5
109,27358.008095,1290605650.265341,10.782308,17.951659,5
110,27411.824948,811858945.519525,10.969898,15.848009,5
