generation,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina
1,495.341177,121869.068186,29.279463,0.894485,9
2,611.442131,371564.597089,29.092763,0.899404,10
3,571.290451,193624.604823,28.634402,0.937910,9
4,583.438873,379196.200143,29.064483,0.883944,12
5,605.215592,194175.175812,28.961730,0.902924,9
6,530.660611,104370.125988,29.907378,0.865906,8
7,587.218136,188957.703849,29.009461,0.908258,9
8,555.595615,249553.382709,29.078247,0.921389,9
9,570.831676,215780.455811,29.280607,0.867469,9
10,528.882571,138735.698599,29.387124,0.873883,8
11,713.909167,589103.279318,28.805053,0.931427,7
12,555.336221,299293.310832,29.291471,0.883753,9
13,566.957849,204803.434425,29.016897,0.899089,13
14,518.185088,204838.142825,28.830567,0.886472,7
15,673.044736,288518.480588,29.154535,0.894201,10
16,598.913308,256160.014609,29.241397,0.880487,9
17,702.499482,384619.022032,28.797723,0.956260,10
18,635.715334,253513.046492,29.031308,0.882077,8
19,710.287930,522042.109630,28.838528,0.903590,9
20,542.457086,219741.924916,29.416312,0.875836,10
21,761.111380,393031.200429,28.803234,0.918798,6
22,583.457954,285907.837544,29.183521,0.883126,9
23,783.382482,936667.078815,28.279659,0.949403,9
24,978.311338,2144191.963265,28.808285,0.917766,9
25,777.058405,745556.645421,29.058697,0.896253,9
26,945.010777,3481399.430836,29.182686,0.905828,9
27,627.081731,298029.748095,28.509402,0.943492,7
28,791.838380,959841.088441,28.735531,0.908491,10
29,1041.965947,1476586.962319,27.992003,0.959845,9
30,749.628706,458246.163555,28.554995,0.925720,9
31,794.539835,822017.236281,28.099817,0.948187,9
32,855.767832,559069.456476,27.790702,0.995004,8
33,1748.879792,8363519.512213,28.063852,0.961393,10
34,5448.375239,221261161.023899,27.281563,1.003673,10
35,1173.485637,2144792.365982,26.943657,1.037855,8
36,4245.727400,93647204.625655,27.076626,1.001983,6
37,5984.124130,122003093.997393,25.463232,1.201182,8
38,5086.649291,229473738.648358,25.360458,1.159548,6
39,9895.675537,702289959.503752,25.613668,1.126300,8
40,4512.836851,71295419.633068,25.931548,1.129003,6
41,2774.910981,27445899.467311,26.158579,1.045081,3
42,3168.407311,38699759.666890,25.980096,1.088384,6
43,1910.551066,23944537.237777,25.610318,1.133612,5
44,3748.108850,118458033.073332,25.489700,1.113695,6
45,8592.621171,604066000.546373,25.085066,1.199261,5
46,8327.290801,529795637.383575,25.624457,1.095631,9
47,6493.990461,213941897.379782,25.935330,1.050717,5
48,9589.964948,562215999.143260,25.760912,1.088180,6
49,10110.072796,345888189.284463,25.522630,1.158163,6
50,9549.407046,627543164.499457,25.204769,1.116571,5
51,7100.880298,438196380.725556,25.487991,1.123076,9
52,12411.353272,662668791.265908,25.264544,1.177618,6
53,6669.928572,322724161.706032,25.128309,1.210688,6
54,6225.418274,147723776.461275,24.857331,1.167572,4
55,14367.985814,895821270.850571,25.204861,1.183604,4
56,8777.332874,516403801.504589,25.583488,1.154924,6
57,4214.537649,104841848.859554,25.454501,1.138425,6
58,3936.479426,116816858.747103,25.175596,1.213019,7
59,9075.665210,492808169.641345,24.111705,1.262430,6
60,7307.148685,406504587.706984,24.651785,1.170458,4
61,8117.324699,361750920.693859,25.119585,1.144125,7
