generation,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina
1,3023.424307,26718895.751182,25.798892,1.103257,10
2,878.840531,1118375.729573,24.907780,1.182118,7
3,623.773891,368273.356933,27.002025,0.986487,10
4,379.649851,43164.178352,24.998950,1.198620,10
5,2240.789764,14434247.954889,25.382687,1.166096,6
6,443.709149,93793.966389,26.150667,1.104766,9
7,486.855283,65955.384440,25.946127,1.094038,10
8,1593.235536,9114823.227400,25.269228,1.163476,10
9,1491.942145,6612165.670114,25.533953,1.151680,11
10,526.849495,102296.233869,26.524601,1.023556,8
11,2560.921992,13476217.658393,24.897177,1.140639,10
12,890.432878,2089189.114729,25.847848,1.109688,7
13,714.671820,442722.565246,25.165554,1.238404,10
14,689.125455,641073.442043,26.344776,1.046962,10
15,446.843136,155735.942582,26.108337,1.091768,9
16,694.291370,602754.774362,26.417290,1.028778,14
17,547.103476,1366102.920563,25.885506,1.121689,5
18,765.378100,925672.269556,25.242350,1.157201,8
19,5123.889048,102142792.080395,24.848897,1.167010,8
20,417.635266,59299.834077,25.523249,1.231581,7
21,741.218788,1607579.602366,25.427980,1.164974,5
22,711.861366,161695.338437,26.261477,1.083244,4
23,834.770049,461808.857372,25.793657,1.103545,10
24,706.304931,537861.917325,24.538970,1.257308,2
25,722.269510,1496727.132182,25.684964,1.147975,10
26,558.317682,93933.754362,26.841452,1.021077,7
27,686.717048,524475.602209,24.928319,1.333811,10
28,942.858925,1372624.708010,26.019145,1.058413,5
29,2481.906779,11712746.687903,25.911802,1.085553,5
30,862.106225,625957.085906,26.644275,1.092527,7
31,2099.436186,11857814.837960,25.936287,1.143864,7
32,1296.990791,1603951.943011,25.176635,1.155721,10
33,3231.871950,35153509.524445,25.844833,1.079544,9
34,721.605251,788658.635322,26.581356,1.049563,5
35,781.128386,335186.025955,25.780392,1.074150,7
36,2998.705106,29655290.924981,25.672263,1.096618,7
37,899.072343,967604.627622,25.877900,1.164836,8
38,1913.421438,8339441.574484,25.358552,1.066630,4
39,2947.098800,39119926.949534,24.826980,1.193918,12
40,566.124635,190910.937231,26.030521,1.162446,3
41,2867.399184,15731818.713429,25.255749,1.107501,5
42,925.707429,980884.272513,25.424409,1.120777,2
43,1164.542593,3905902.314411,25.798870,1.085094,0
44,625.946479,246227.628080,26.305208,1.076947,3
45,603.010730,874799.100515,27.369066,0.977072,10
46,1938.406502,4276778.202936,26.144740,1.116956,4
47,3765.977623,37218326.961805,25.780166,1.099690,12
48,1082.339763,1995769.534599,25.664907,1.109865,6
49,779.316994,1553727.062429,26.261824,1.124352,8
50,1261.363231,1751137.155620,26.175947,1.051566,10
51,438.556632,91503.002355,25.660816,1.131037,9
52,1040.403351,1705023.037697,25.416688,1.152229,11
53,2128.299235,14868146.897889,25.590707,1.120897,7
54,1152.340071,11707394.406013,25.904162,1.069249,4
55,468.225009,85166.312278,25.745159,1.131141,2
56,2680.284362,41400852.022651,25.734969,1.043882,8
57,3516.326470,68003851.842548,26.150459,1.074152,4
58,826.707801,1776235.993223,26.986724,1.038574,4
59,1610.944190,8782249.275434,26.355741,1.022094,13
60,417.382891,42856.327847,26.592498,1.030265,5
61,492.417533,86618.029572,26.629707,1.068059,8
62,1562.695666,4309107.931222,26.182572,1.054410,10
63,873.953764,884878.203918,25.554623,1.081816,5
64,1153.015408,4171305.339662,26.064293,1.134396,5
65,527.062988,297672.986980,26.325985,1.090188,6
66,1020.512732,676521.525894,26.481692,1.074707,9
67,961.311131,809658.478879,26.799178,1.045019,4
68,6016.545816,101471216.929396,26.118766,1.082222,4
69,702.630778,239599.086953,25.599989,1.093811,5
70,759.604075,619154.715960,27.233202,1.003792,6
71,855.461925,466660.683846,24.927758,1.183027,5
72,511.894872,76613.148254,25.608716,1.147895,6
73,1678.706309,10026183.287400,25.983450,1.038748,7
74,702.592331,344378.575722,25.294344,1.107794,5
75,995.806784,5903154.155350,26.542684,1.074273,4
76,589.316712,320315.353828,26.582638,1.069894,9
77,1319.127196,9474229.525221,26.236712,1.037032,6
78,451.886526,65461.391647,26.108583,1.110429,7
79,896.482491,619825.013488,26.012064,1.043957,9
80,388.610658,49568.846162,26.276239,1.017877,6
81,484.268489,126572.332926,26.734213,1.107871,10
82,1248.203893,3134604.395478,26.628174,1.031815,4
83,1035.672654,1529009.517521,26.348337,1.041213,6
84,851.005514,1218486.602399,26.666534,1.038278,5
85,674.332095,434411.095915,26.718504,0.996140,10
86,535.246011,106647.526358,26.008526,1.117623,3
87,1572.054860,3851071.484546,26.167387,1.066289,9
88,535.829761,340886.713982,27.140247,1.042877,2
89,472.752519,299930.397015,26.855536,1.004572,8
90,802.291377,1037929.532073,26.718583,1.053278,5
91,504.092483,301117.350178,26.238514,1.061638,3
92,572.515980,160308.064644,25.400098,1.186998,2
93,392.708201,52991.566700,26.481147,1.135454,7
94,935.305289,551945.217038,26.208130,1.088217,6
95,853.100029,1437010.522266,26.879081,1.048887,1
96,479.597821,102162.589981,26.637987,1.050833,8
97,679.534567,723036.921483,27.392863,1.026581,3
98,349.370796,35791.144382,27.493951,1.069661,9
99,662.462810,1306845.809278,26.349434,1.063831,4
100,306.652467,21674.616485,26.557862,1.103564,9
101,1495.544934,5191768.440847,26.522963,1.079164,10
102,550.381096,528621.886782,26.457126,1.119693,12
103,1078.830609,3880929.393099,26.424054,1.063861,10
104,581.274418,2350451.637830,26.242681,1.139103,4
105,367.980353,38824.928638,26.745203,1.069265,10
106,714.486909,693947.307796,25.584613,1.070182,1
107,453.771431,128430.135779,26.524276,1.013834,6
108,356.107327,46918.817486,26.292735,1.070539,11
109,922.674848,5233222.606032,25.745186,1.115078,10
110,352.980784,36202.391857,26.385260,1.102760,12
111,418.665603,78696.963177,25.848813,1.076687,3
112,493.811779,248389.279833,27.172457,0.993500,7
113,615.334551,242918.739787,27.893812,0.986235,9
114,340.528381,67820.689510,27.048611,1.063342,10
115,464.880547,173953.613100,26.602288,0.986432,7
116,756.419657,708385.692750,27.365471,0.983274,3
117,1314.668089,6653417.132147,26.755902,1.013697,4
118,593.685627,254586.310925,26.717796,1.002997,1
119,840.725219,3733230.287652,26.278329,1.098606,6
120,271.964316,19758.203175,24.912481,1.254964,7
121,1198.581422,4556867.926422,25.353723,1.104649,10
122,572.194205,231382.351599,27.036880,0.972635,1
123,413.538026,93000.676919,26.250920,1.062251,10
124,596.790219,354466.330237,26.869627,1.006356,1
125,340.984395,42341.097074,26.827259,1.122712,8
126,632.776063,1119606.281862,27.183355,1.021751,6
127,2179.416685,15509809.036078,26.090044,1.097377,13
128,1864.716880,17065273.202745,26.258174,1.047131,8
129,301.666586,26360.118140,25.840740,1.171308,9
130,443.482252,191059.047391,25.836019,1.139408,10
131,405.926502,58636.259350,26.745079,1.024167,6
132,407.548421,108898.711984,25.982855,1.139487,9
133,518.943965,179021.213849,25.770723,1.131438,9
134,799.379632,1330342.742390,26.118526,1.066626,8
135,353.622294,36380.850000,26.432693,1.004266,9
136,468.493655,135082.240987,25.537514,1.171913,1
137,630.663117,226667.992229,25.637251,1.054585,1
138,310.281739,18984.065441,25.140843,1.245854,1
139,1690.093140,12771168.518884,25.861491,1.038631,9
140,881.788303,1452808.196599,26.936433,1.042512,1
141,563.997674,838493.970913,26.243287,1.071786,7
142,636.284310,719517.402098,26.654365,1.005891,1
143,760.065687,782035.663748,26.463026,0.979835,10
144,437.989658,172619.640287,26.161406,0.986303,5
145,372.491144,43208.567886,25.795777,1.100834,10
146,508.646786,366972.736356,25.943976,1.084014,6
147,2306.361729,22124081.756872,25.761616,1.010284,9
148,468.460567,96378.286062,25.996470,1.061754,3
149,414.839066,202082.383917,25.640069,1.130780,11
150,1399.226250,11488755.603550,26.925314,0.962166,11
151,1230.537757,2957665.048670,25.828152,1.002946,5
152,531.991306,402092.084546,26.477060,1.035546,9
153,872.793898,1381428.032556,26.397174,1.001235,9
154,398.689898,59358.527972,26.899336,0.988377,3
155,948.265768,2128928.784493,26.262123,1.007594,5
156,2420.174507,20370681.762738,26.108217,1.007702,9
157,2747.843297,12838337.021203,26.305438,1.052562,9
158,1032.349152,1392707.296979,26.143313,1.040556,11
159,887.097022,1856308.453888,26.065385,1.031802,7
160,697.231727,382992.830190,26.311831,1.021648,8
161,567.093508,368834.149498,26.240780,0.989204,10
162,1783.894121,11403328.982832,26.422445,0.978923,8
163,868.740214,342547.635207,25.742376,1.039274,11
164,1125.650734,5172606.441563,25.677283,1.042342,9
165,670.319706,136620.016295,26.408313,1.068004,8
166,858.424456,835476.972927,26.779283,0.966458,3
167,1013.353681,1465009.128148,25.625838,1.035547,9
168,1702.628790,21844244.581606,25.556726,1.032068,7
169,1206.534719,2680978.415411,26.326106,0.985646,12
170,633.565083,272886.980785,27.180782,0.915693,8
171,577.218486,199949.751805,26.894697,0.951976,1
172,1360.991966,4665732.643322,26.571323,1.043167,9
173,2039.074589,12041695.510480,26.282540,0.999789,10
174,398.384630,46649.427516,25.780615,1.081813,13
175,363.859011,26747.231147,27.058649,0.935222,3
176,628.174087,106348.482392,26.874882,0.965148,7
177,2622.134335,17780797.783169,25.601766,1.027017,9
178,1209.420085,2909802.399654,26.605057,0.986044,10
179,502.172821,79481.524359,26.043614,1.018212,10
180,407.351838,76975.172192,25.269727,1.134617,9
181,471.236877,146466.813134,26.136890,1.096835,9
182,379.673915,37536.550572,26.210580,1.020521,7
183,1044.748412,994126.496577,26.214954,0.972672,12
184,618.909588,227035.849715,26.532757,1.029076,10
185,560.326050,392716.881798,26.251156,1.018390,9
186,1147.361164,7328498.119782,26.705179,0.970528,8
187,471.481086,78496.735432,25.424304,1.176048,8
188,957.141337,3244689.275446,26.374644,0.983363,10
189,358.462536,32052.273606,26.747997,0.976858,7
190,422.323497,74794.437662,26.409264,1.026826,7
191,2275.083221,38725865.674695,26.322729,0.971705,4
192,1132.900052,1310425.331263,27.195607,0.950935,11
193,661.421811,579359.280063,26.954844,0.989927,8
194,573.333015,158911.604986,27.074615,1.003038,6
195,1337.768795,6671060.157065,27.888048,0.919982,9
196,388.674963,40010.117517,26.534423,1.020879,7
197,408.397813,57540.009232,27.414267,1.012418,8
198,503.546993,77458.500489,26.956569,0.996154,5
199,787.285418,658723.933158,26.925967,0.996517,10
200,410.411183,39790.224581,27.533538,0.978061,7
201,562.640947,141377.158792,26.220947,0.977106,6
202,990.698529,2138584.104741,27.588136,0.959459,4
203,453.500351,66042.834029,26.889920,0.983877,4
204,1380.090312,8509759.074050,27.078479,0.993226,7
205,1867.505552,7232108.376851,27.002290,0.991439,3
206,1282.627056,5867451.459666,26.514650,1.023067,3
207,445.492949,119986.919821,28.040898,0.962658,3
208,508.706302,193620.121089,26.504382,1.022932,8
209,1009.656884,1799430.999666,25.845753,1.077926,7
210,411.808070,47315.620773,26.777318,1.116874,9
211,605.973925,144359.012461,26.351406,1.056206,7
212,512.957073,132134.042685,26.355929,1.008022,3
213,899.013417,1443108.042705,27.089155,1.001338,6
214,715.861330,924433.558432,26.011908,1.071397,8
215,528.858861,94090.377453,26.615006,1.013146,7
216,377.352426,45256.313438,27.046175,1.060816,6
217,495.676428,183028.703845,25.883170,1.108043,2
218,833.115987,985471.318900,25.303050,1.150495,6
219,361.518190,45455.548964,26.561693,1.020464,7
220,517.702827,111356.136551,26.294612,1.046541,9
221,1385.548896,5937735.586266,26.749825,0.987998,5
222,716.201749,936363.322140,26.275156,1.040674,5
223,862.618964,711028.960604,25.653689,1.125800,6
224,1030.691900,1813578.247916,26.448242,1.027453,3
225,399.879096,63625.615420,26.131922,1.133902,5
226,1195.411754,4113812.678713,26.356181,1.020266,7
227,1473.921391,4312578.774016,26.340960,1.049615,8
228,655.069596,804015.874146,26.451718,1.034256,3
229,1522.641652,7468913.773911,26.567653,1.049543,10
230,1938.355367,9476825.989345,26.528082,0.994684,6
231,1089.398385,3309423.726097,27.112025,0.975856,3
232,766.825459,916358.295657,27.301774,0.967336,11
233,852.938201,668481.253469,26.189050,0.999335,5
234,1071.866318,1259236.319076,26.404783,1.016477,4
235,524.472253,84838.254950,26.599886,1.023943,5
236,1409.804327,7765652.471314,26.056899,1.102504,1
237,1162.957815,2513592.902159,25.832691,1.047406,4
238,2254.615699,19158832.386140,25.500834,1.103384,6
239,1663.840843,7699016.672738,25.683615,1.027210,1
240,2273.810891,14372755.675291,26.323998,1.022295,8
241,514.570680,112162.055703,25.681388,1.093591,4
242,987.188681,1143897.226158,26.275228,1.013727,3
243,696.815240,430182.652947,26.107888,1.119283,5
244,2157.177591,16657714.075357,26.192159,1.031389,5
245,509.434277,60183.128641,26.560142,1.078197,5
246,552.558161,84484.853996,26.401327,1.077724,4
247,995.476690,5410761.388425,25.838225,1.075329,4
248,1439.303543,3715731.056375,25.898571,1.082216,6
249,960.886916,6519229.205497,26.032126,1.080291,7
250,2263.131064,20817847.120048,25.530168,1.090684,1
251,826.083194,482985.195379,26.068164,1.052751,2
252,551.008183,238202.890319,25.784567,1.074793,3
253,1296.561191,2505505.047267,26.734317,1.083645,6
254,2653.541121,17771951.362926,26.297410,1.021368,5
255,1256.322958,4107272.636041,25.691719,1.084508,3
256,3364.645121,40095053.171921,25.865389,1.077748,5
257,662.221518,153934.291217,26.450359,1.100068,4
258,2127.809849,11148852.569035,26.362081,1.080461,6
259,3625.966921,38491399.404816,25.714303,1.109863,4
260,922.805085,1482386.237401,26.118767,1.086892,6
261,1516.965425,14747098.508006,26.880661,1.157157,5
262,1140.737288,3783824.574348,25.678332,1.173035,3
263,776.308154,384844.359021,25.432766,1.168169,3
264,1562.891456,6172095.289459,25.421892,1.281323,8
265,2829.005230,20023709.199249,25.414189,1.213585,4
266,1085.145595,753007.036586,26.058723,1.187175,7
267,1641.245887,4042066.314496,25.837195,1.157548,7
268,2241.599396,15841142.165845,27.287734,1.065685,1
269,2086.681771,7784069.480566,25.508775,1.142792,3
270,964.966691,1062490.058989,27.516089,1.094479,5
271,988.243012,378934.041869,25.814373,1.205195,3
272,3036.010023,64740459.905879,26.685607,1.065669,3
273,799.867407,326187.653456,26.442764,1.187869,4
274,2293.944353,14113700.026851,25.482057,1.267643,3
275,3516.559301,59648414.090560,25.050370,1.241840,5
276,1319.412614,1386057.842977,25.233343,1.190018,4
277,2809.572382,16828940.163337,25.406441,1.229041,4
278,663.927121,180692.296805,25.737472,1.202660,4
279,7639.089610,228696527.908883,24.184519,1.306043,5
280,1758.851965,5099949.118949,25.358015,1.218390,3
281,1462.249016,2504380.491435,24.880717,1.276849,4
282,2815.353893,21187988.156328,24.543148,1.275681,4
283,1230.142294,2567226.076614,24.771316,1.363761,4
284,1947.753979,3855888.287950,24.690111,1.321824,6
285,2989.813526,104831671.797351,25.438902,1.251232,3
286,2025.470027,17218145.875958,24.233884,1.349548,3
287,2195.813460,3081248.306851,25.533325,1.485300,3
288,3882.460431,44191452.390533,24.040323,1.415104,4
289,13453.836085,884355837.991340,23.167693,1.523208,4
290,10707.011954,286634381.416066,23.252555,1.520896,5
291,5140.082035,42655605.740909,24.174945,1.376069,0
292,7061.081274,244714752.404460,23.381754,1.614307,2
293,3501.684417,24249341.245998,23.504547,1.591416,4
294,5354.806260,113911231.118802,23.463417,1.527404,3
295,3794.863122,21460259.290534,23.561845,1.466057,3
296,3461.095505,23870136.653413,24.303968,1.454695,1
297,5606.879550,174262655.363438,25.031190,1.336877,4
298,2040.349973,16635511.008745,24.459762,1.450979,2
299,6239.117758,234805648.438704,24.653638,1.403358,4
300,2233.393013,33096934.191607,25.100480,1.267634,2
301,2263.507424,11031828.647580,25.243038,1.200616,5
302,4160.895569,35866832.806631,24.738183,1.318147,3
303,990.126574,718455.107668,25.705710,1.262871,4
304,3624.410103,73531513.442095,24.836834,1.367239,3
305,1429.585378,4851168.207104,25.917181,1.187079,5
306,1519.018263,2646460.678844,25.348825,1.274824,1
307,1167.821587,2530638.356711,25.678898,1.258818,3
308,814.110335,490228.640862,25.612159,1.281069,2
309,739.131091,315126.408312,25.214051,1.297490,4
310,9628.667653,296901131.580217,23.058550,1.550842,4
311,3534.386456,81453827.146133,24.715934,1.394121,2
312,5623.609927,94590328.349936,24.378138,1.340356,3
313,1133.940379,1650905.090110,24.773734,1.281175,4
