generation,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina
1,420.992843,246293.555224,25.672031,1.151299,6
2,237.886395,12973.372840,25.956536,1.209497,6
3,226.940462,15702.604499,23.852616,1.609768,6
4,570.923677,642770.631894,26.156986,1.029990,6
5,265.931344,25316.823428,25.806215,1.359850,6
6,501.422732,127638.550165,26.304719,1.125642,6
7,710.214434,949541.997854,25.759754,1.049159,6
8,328.622093,68267.243973,26.484887,1.088852,6
9,835.357477,1164051.000514,26.931150,1.062406,5
10,228.827119,15797.215558,25.365498,1.732294,5
11,791.485626,1791557.271664,26.664270,0.982435,6
12,390.707918,92923.562210,26.653575,1.054254,6
13,279.062011,17823.062910,26.274271,1.164120,5
14,246.287272,14664.129334,26.001456,1.407206,4
15,984.779419,4298976.030210,26.960665,1.080318,2
16,1068.348254,3148164.333031,26.225257,1.120295,5
17,296.914017,38263.617323,26.403833,1.146255,8
18,821.325609,1859264.003097,26.841209,0.999275,7
19,911.874074,3315862.669996,25.898804,1.127632,4
20,317.661177,30613.095911,26.755372,1.094384,5
21,270.532911,18885.388805,26.601349,1.169574,6
22,271.937781,22395.965753,25.966755,1.200108,3
23,304.298941,26146.093585,26.406603,1.076822,5
24,480.238953,306199.483793,25.902680,1.114143,6
25,267.602887,21774.900146,25.886676,1.269537,3
26,955.254073,2274375.080414,26.433082,1.073496,5
27,257.565533,22864.119108,26.085384,1.415035,5
28,431.452961,46401.396576,27.843400,0.969506,2
29,997.392035,1956848.973835,27.425545,1.002885,2
30,392.308586,80222.967202,27.185278,0.996040,2
31,513.738564,248310.014044,27.935458,0.977477,3
32,856.128465,1575800.910463,26.013852,1.148324,6
33,406.255089,46504.838825,28.269456,0.936565,2
34,590.291519,386586.816761,27.123584,1.019791,4
35,377.286493,72772.779043,27.521125,0.949066,2
36,712.559381,769073.273147,26.727190,1.010638,4
37,720.358307,1128349.144700,26.992862,1.040640,3
38,369.392915,48408.647501,25.839230,1.054264,1
39,291.466872,22180.800030,26.621704,1.074168,4
40,355.231295,87345.141520,26.142885,1.058937,1
41,289.582034,22855.269762,26.093098,1.145088,5
42,373.833585,34544.481032,26.340994,1.068238,7
43,416.154247,68511.568014,25.905766,1.081539,2
44,408.395190,131174.184695,26.985416,1.071698,7
45,721.821435,580675.683362,26.868432,1.020849,4
46,278.233943,17725.821098,26.499074,1.131115,9
47,298.726428,26624.336257,25.767816,1.163830,3
48,2007.992833,14292169.780508,27.298134,0.919599,6
49,287.350245,17403.533263,26.510639,1.036714,1
50,1467.051660,6032619.061514,26.639567,1.054145,6
51,501.445142,128669.683400,26.980083,1.009923,6
52,530.870993,325214.149608,25.842720,1.049442,6
53,2174.026821,15959212.413865,25.883832,1.093700,6
54,577.212219,137980.728892,26.251129,1.016322,6
55,512.775596,100626.184113,25.820434,1.123494,7
56,305.390390,23884.073891,25.730144,1.125318,7
57,843.037218,2247440.356382,25.879320,1.119551,4
58,669.079061,319191.913393,27.002966,0.999816,5
59,735.471134,5052944.099112,26.141241,1.013424,8
60,678.034053,319627.483531,25.489046,1.135510,9
61,646.516427,609453.422008,25.909972,1.087594,7
62,394.716159,53654.879435,25.393244,1.113523,10
63,474.299861,99038.138920,25.967872,1.087804,7
64,863.757872,1522302.465086,26.758007,1.074317,7
65,2426.727710,20634296.235353,26.388245,1.024314,8
66,421.999136,54047.686510,26.447508,1.036255,8
67,1009.125294,2786814.076045,26.350405,1.092213,12
68,1557.942148,8503909.913054,27.336644,0.963658,10
69,941.940288,871400.127842,27.079543,1.027026,7
70,2340.447698,36935111.335831,26.244036,1.035160,3
71,440.543127,46082.484216,27.145818,1.022402,10
72,2056.085267,23394337.533804,26.192806,1.149935,7
73,859.541632,3628575.153939,26.523736,1.053745,2
74,745.214503,325773.322171,25.442787,1.142879,3
75,845.013037,632708.999696,27.241511,1.002927,8
76,632.820928,479996.595014,25.826155,1.087234,4
77,612.449482,277753.211180,27.047446,1.041353,3
78,593.557999,728772.470755,26.643073,1.059719,4
79,1075.336674,2984462.178366,27.407977,1.020198,4
80,695.851827,273071.690862,25.807211,1.117327,3
81,1319.470038,4651799.147481,26.518845,1.118174,5
82,2292.020729,16238507.752348,25.064231,1.113420,2
83,663.761459,140035.105146,26.286083,1.120999,4
84,875.721762,312502.193855,25.766379,1.146610,1
85,2697.770274,24111133.971485,25.617767,1.172008,3
86,2596.559185,18929090.251953,26.007275,1.155314,2
87,734.093163,213947.740335,27.101474,1.027545,3
88,1593.644691,4191855.016985,26.039680,1.120782,6
89,744.334650,407585.235671,26.307093,1.119400,3
90,397.028221,50899.819836,26.089826,1.085142,3
91,2480.832958,31251709.098035,26.019662,1.107373,2
92,2500.446033,14360425.523002,26.192784,1.075243,6
93,873.964935,1371702.794842,26.199309,1.072015,8
94,711.271181,409967.978568,26.096657,1.139277,2
95,788.165259,2437895.079347,26.457617,1.072720,2
96,370.867867,36474.568590,26.997124,1.012111,6
97,389.341958,41314.840889,26.816954,1.101704,4
98,377.991399,37407.545774,26.474749,1.123727,2
99,402.773620,52342.455359,26.923238,1.029433,3
100,767.070297,1012125.220917,25.917328,1.202745,3
101,2082.300850,16219523.355817,25.988786,1.059552,2
102,3022.241992,57757912.109569,25.218045,1.205695,8
103,443.127654,172607.797710,25.877341,1.130228,5
104,1360.110411,14098236.252879,26.120553,1.102896,6
105,337.068338,35843.547117,26.458316,1.133292,3
106,1594.027367,4494951.206480,25.938239,1.122245,2
107,558.803122,199187.739907,25.587417,1.100466,3
108,3409.826874,46485723.733992,25.855404,1.114569,6
109,4448.604687,97702908.736483,25.234556,1.152904,6
110,1336.324571,3885947.257052,25.798293,1.131948,10
111,903.127478,1675363.572203,27.109199,1.076805,3
112,509.957972,120619.941155,27.495416,1.041122,6
113,631.839315,1339565.128768,27.317893,1.024450,2
114,555.771092,168852.038871,26.131256,1.160629,7
115,561.417810,152886.525037,26.565190,1.092591,0
116,478.339132,76424.326220,27.498544,1.008533,6
117,1604.922217,7191010.180881,25.977163,1.077173,2
118,1502.625366,9133391.708157,25.491400,1.139908,6
119,513.703754,104598.006610,26.147371,1.125095,8
120,478.925915,163435.482544,25.605981,1.140644,2
121,504.706421,62499.700636,26.172276,1.122912,6
122,1178.970050,6234247.318027,27.235732,1.062862,1
123,419.771034,35628.505822,26.850609,1.083844,1
124,1070.991325,1509203.065272,25.312371,1.227631,7
125,634.047876,237628.305146,25.473280,1.165494,6
126,476.741883,56442.654704,25.263486,1.208633,2
127,1378.558422,3828102.075092,26.200168,1.121263,7
128,1564.409627,4119302.422935,25.323554,1.149282,2
129,971.347920,449099.385676,25.077791,1.242615,12
130,4327.111532,57053473.307898,24.941173,1.224108,1
131,773.609563,204508.010333,26.244020,1.114754,5
132,6313.620012,182514164.037049,24.850975,1.187935,9
133,846.847096,555039.475201,25.274074,1.166521,2
134,1117.056795,2547353.698367,26.952488,1.080743,5
135,4313.373806,75492840.134871,24.817560,1.234463,8
136,603.090835,197286.230574,26.995728,1.084045,5
137,1052.542168,1905902.700115,25.502758,1.161668,3
138,662.294465,415222.547732,25.836511,1.145813,8
139,1226.978056,2280980.983133,25.022310,1.206608,3
140,1182.616836,1537703.275888,24.999725,1.278121,0
141,2552.170933,11748510.274123,26.369266,1.197112,8
142,783.103681,241302.310715,26.391099,1.181607,6
143,844.850536,561411.639735,26.337539,1.157467,9
144,13630.404442,832927698.755509,24.358781,1.327403,5
145,5338.955607,89597316.765518,24.707023,1.330452,9
146,1304.077768,2170054.283428,26.324537,1.167802,3
147,6558.511321,146876469.715343,24.682201,1.310981,3
148,654.370781,176628.998021,27.017963,1.176627,8
149,694.215401,341989.079291,26.917280,1.077121,1
150,1880.956084,4148025.524436,26.646595,1.103718,2
151,485.448101,72011.178113,27.142328,1.096687,8
152,509.363273,62832.598093,27.142385,1.019147,3
153,1692.723796,19591128.189038,26.498013,1.103773,1
154,857.981444,821626.111146,26.038424,1.157523,2
155,3183.359498,49755015.380172,25.783522,1.157784,1
156,949.621405,1014902.985578,25.169810,1.201607,2
157,2080.602859,22406521.045586,26.799474,1.083766,1
158,527.538467,88904.460495,25.741903,1.180083,3
159,455.677335,42079.614734,26.720916,1.087649,3
160,7147.067694,365819379.411107,24.730207,1.242029,7
161,557.645969,93951.055106,25.594243,1.203234,2
162,1664.788332,8453866.396215,25.891647,1.212277,4
163,2938.313875,50381546.493511,24.667474,1.295294,1
164,792.557277,276700.924774,25.753900,1.265324,11
165,1874.467494,3912281.697359,24.835023,1.374456,3
166,593.591319,132127.536033,24.762296,1.314131,3
167,1093.513708,1007151.996396,25.146779,1.323932,1
168,2635.688488,10446955.259861,23.961578,1.427001,4
169,1327.625316,7910935.022415,25.589104,1.301207,5
170,1427.292440,1694768.205871,24.721772,1.469291,1
171,2892.686685,16451478.687289,25.285641,1.458432,5
172,717.462066,123338.866319,26.107968,1.398587,6
173,6368.029901,146656745.650924,24.722381,1.334455,2
174,875.130167,721705.833118,25.992940,1.174806,3
175,1010.972072,1110034.202008,24.958581,1.357814,3
176,6437.406350,261018633.574712,24.271211,1.394191,3
177,3153.630220,15514297.257600,23.727299,1.484252,4
178,615.295038,111805.583728,25.372568,1.311723,1
179,1063.166302,1600350.044509,25.331303,1.272276,4
180,2319.506639,8869735.985701,24.619725,1.297345,6
181,1646.575006,3576690.574934,25.049866,1.261425,1
182,9250.698451,418674235.456881,23.912022,1.362200,1
183,3210.636843,56087943.779741,25.436299,1.243853,3
184,2206.511575,10938820.469785,24.175018,1.329167,2
185,731.810405,148907.214692,26.184075,1.165339,2
186,1253.995898,1292414.992520,24.265029,1.319463,7
187,2854.409114,12407640.488504,23.643783,1.408652,2
188,1435.907950,2898006.275825,25.461187,1.247993,4
189,935.289759,355233.533645,24.560309,1.356419,2
190,1860.825945,4145767.974477,24.849373,1.281708,1
191,595.765591,94031.487284,25.157119,1.194493,2
192,3556.384441,43178564.308329,24.803996,1.247763,1
193,1233.878500,1320765.781986,24.700919,1.214342,2
194,1276.031566,1226460.480930,25.779782,1.240094,1
195,3428.501021,39888489.508772,24.163621,1.283650,2
196,792.908527,143356.355881,25.823792,1.259954,5
197,858.388325,402851.119112,25.876617,1.087742,3
198,1982.418744,21704067.007493,25.428213,1.209717,2
199,3160.347201,23771237.576252,25.432644,1.206638,2
200,4083.731160,27009685.648143,25.886437,1.152912,2
201,1797.553462,4894675.542543,26.348030,1.183105,3
202,5953.319319,152441285.999662,25.498027,1.139191,5
203,1199.404540,1155641.224441,25.597009,1.172403,2
204,4362.127057,71595813.575509,25.798492,1.157509,4
205,1909.236538,1525659.236467,25.634858,1.239234,2
206,2644.645212,28346236.776256,25.263011,1.183775,2
207,1893.806208,4335975.981445,25.022228,1.272151,2
208,4979.014234,73658010.898402,24.712354,1.319191,2
209,1412.605481,5408689.765267,25.064354,1.235556,5
210,1018.326888,2381575.816276,26.567665,1.167923,0
211,5428.552645,81215144.362470,24.504286,1.319336,3
212,3266.421901,28265999.938446,25.786405,1.274429,1
213,1600.454419,1460718.243505,25.288815,1.252311,1
214,4194.562897,28180296.796850,24.831104,1.308418,2
215,1593.903798,2196685.121608,24.802238,1.301437,5
216,3160.108510,18281549.941069,24.329546,1.356829,2
217,5223.142166,70806310.090665,24.739338,1.247094,1
218,2762.101165,8162532.659407,24.622325,1.368519,4
219,2362.910561,9896285.396511,23.877637,1.400611,2
220,11006.180291,481587064.394172,23.287312,1.506827,3
221,3719.561595,21018255.957319,24.069212,1.460463,5
222,918.029375,287576.129740,25.257948,1.354142,1
223,3137.313189,18854818.611131,25.199792,1.316548,3
224,5327.151165,188880739.515175,23.981494,1.391293,3
225,854.525394,204243.566813,25.578328,1.266601,1
226,2332.688702,6391012.438579,23.924294,1.388355,2
227,2266.784110,8966978.537240,24.232681,1.402528,6
