generation,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina
1,696.793688,516700.588180,30.367179,0.853981,6
2,485.437426,97029.210999,30.522530,0.814642,6
3,533.501985,205318.182757,29.648366,0.876994,6
4,432.431166,52885.448941,29.527307,0.878943,1
5,487.077390,76812.542071,29.676781,0.903161,1
6,596.048473,232334.495487,30.034347,0.849236,6
7,585.285967,261107.957234,29.430690,0.888409,6
8,547.430314,191910.723712,30.206172,0.870666,7
9,605.842823,253697.187102,29.982956,0.897819,6
10,532.522213,191100.845913,29.878493,0.888303,2
11,438.813222,64771.259092,29.955907,0.878431,6
12,543.600956,173112.102990,30.110665,0.846355,7
13,574.994125,150785.735726,30.562291,0.831251,5
14,480.295376,102566.830342,30.326026,0.845452,6
15,492.049637,96250.581593,30.206792,0.872692,6
16,516.049421,194304.255930,29.868668,0.876405,2
17,486.750843,116135.074406,30.551443,0.838413,6
18,453.432365,70156.604025,30.741551,0.815186,5
19,542.312176,270647.839634,29.819744,0.878164,7
20,526.568599,130943.950526,30.632905,0.847860,6
21,544.029307,164325.993308,29.968188,0.886517,6
22,563.116463,135496.358358,30.140557,0.858694,6
23,528.280057,166425.029537,29.955143,0.891579,6
24,511.635824,120714.794603,30.192331,0.878728,7
25,592.606125,175759.191695,29.849523,0.868273,7
26,544.654161,203278.100123,30.145774,0.851613,5
27,606.339642,343461.678963,30.085140,0.852819,2
28,551.226723,159723.809133,30.072571,0.854224,2
29,548.734970,122062.466406,30.031477,0.855445,6
30,594.080958,270081.147991,30.123119,0.863419,5
31,526.719183,111945.938754,30.250174,0.850453,3
32,616.705748,451993.305357,30.420628,0.861571,5
33,593.872085,277016.833114,30.062366,0.873447,3
34,425.965901,61114.088348,30.218108,0.867206,4
35,571.450567,187877.942891,29.707078,0.879042,5
36,560.571706,168368.905752,30.248126,0.858437,4
37,499.823260,135873.478315,30.203109,0.876165,9
38,571.994755,284993.235200,30.231580,0.845311,8
39,547.298663,151209.951426,30.281274,0.861662,2
40,587.693755,188217.193690,29.897520,0.871087,6
41,537.557777,244983.547274,30.575687,0.853052,4
42,552.431133,152814.187792,29.916643,0.860804,6
43,525.082006,137570.977050,29.683765,0.884907,6
44,564.552424,191334.084067,29.975900,0.880421,5
45,534.486724,138353.851600,29.864990,0.874555,6
46,489.933729,96739.760421,30.485951,0.837553,1
47,522.707016,106750.992535,29.611535,0.893176,5
48,538.234526,150050.125861,30.127440,0.863846,4
49,506.798390,117663.567779,30.301225,0.857832,3
50,521.744099,138590.403339,30.264646,0.871960,6
51,553.984771,214538.621602,30.151712,0.870629,5
52,527.854710,110431.927060,30.075231,0.859653,1
53,590.308553,319576.701032,30.211786,0.838119,1
54,506.872122,119003.027895,30.135481,0.840001,5
55,509.277039,167451.399930,30.407535,0.845278,3
56,561.405357,173262.504096,29.884299,0.855483,5
57,547.242260,160269.087510,30.513357,0.859958,5
58,569.089391,165671.896501,30.024483,0.864758,3
59,596.206340,355436.207316,30.111716,0.866106,4
60,555.002809,155259.820836,30.371938,0.816260,0
61,552.508267,238857.257372,30.108239,0.869709,0
62,556.049512,173862.215359,30.229438,0.845127,5
63,582.346002,326192.103069,30.196730,0.857266,2
64,621.866271,251888.776789,30.113238,0.872631,5
65,557.839135,239350.744464,29.544664,0.888995,3
66,497.233498,87473.238360,30.034248,0.877849,2
67,506.434951,166834.988481,29.780566,0.865087,4
68,492.947949,104900.342559,30.141005,0.844734,5
69,515.266505,144143.807823,30.100126,0.866050,1
70,574.509949,148182.406566,29.705454,0.914431,7
71,505.676315,121775.560628,30.134384,0.847791,2
72,476.474685,104616.367615,30.118230,0.867392,2
73,441.036315,97711.430063,29.962601,0.868337,7
74,689.894280,1021569.094379,30.000651,0.888903,4
75,739.843125,801240.161140,30.111422,0.866258,0
76,540.852095,179438.847214,30.270024,0.876371,3
77,489.110710,110692.819681,30.183934,0.870675,8
78,565.366650,247211.214225,29.601121,0.882911,5
79,555.824028,202430.051864,29.459473,0.900596,2
80,522.101580,200506.877642,29.564882,0.905893,3
81,639.449280,313012.414521,30.280960,0.872410,9
82,503.254606,154182.038780,29.847164,0.852778,12
83,492.016194,72766.765209,30.275271,0.836293,5
84,489.490380,92228.937077,30.000035,0.876615,0
85,521.126053,152055.089396,30.082726,0.861372,2
86,512.345118,137665.675366,29.798609,0.869241,0
87,569.423608,217197.743666,29.890027,0.873621,9
88,558.749524,208101.068012,30.112520,0.871031,1
