generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,num_attacks
1,101579.000000,98423.000000,12,4104.570082,3224723.451309,2430.843383,0.276367,5,3,5,88
1,116695.000000,83307.000000,26,1708.709093,1307662.057113,1773.560494,0.325874,5,3,5,74
2,91448.000000,108554.000000,10,3751.881080,6702918.960931,3882.828369,0.229495,5,3,5,90
3,121239.000000,78763.000000,23,1465.145547,213218.881911,1797.722285,0.283597,5,3,5,77
4,102574.000000,97428.000000,19,6005.850754,5864785.789466,1974.761185,0.225184,5,3,5,81
5,93220.000000,106782.000000,10,4550.345102,13872669.555324,3251.639857,0.271964,5,3,5,90
6,112857.000000,87145.000000,27,1327.179300,128602.549723,1906.600904,0.284895,5,3,5,73
7,113873.000000,86129.000000,23,3312.471257,2684666.574028,1694.497341,0.294942,5,3,5,77
8,119678.000000,80324.000000,27,953.581419,81343.002380,1817.000538,0.244709,5,3,5,73
9,105627.000000,94375.000000,20,1502.725275,323431.950998,1806.695941,0.293817,5,3,5,80
10,109540.000000,90462.000000,22,983.871972,220537.738144,2191.873136,0.305919,5,3,5,78
11,106487.000000,93515.000000,19,1137.528698,187813.270844,2310.968469,0.179625,5,3,5,81
12,101166.000000,98836.000000,12,6054.858365,10005702.559521,2141.646105,0.275032,5,3,5,88
13,99991.000000,100011.000000,14,2162.313477,340345.892585,2195.126128,0.278558,5,3,5,86
14,111485.000000,88517.000000,17,2031.832668,1345859.681175,2045.117158,0.215202,4,4,5,83
15,97353.000000,102649.000000,11,5393.110765,8958129.649994,2463.418963,0.320774,4,4,5,89
16,107298.000000,92704.000000,21,3501.575371,2932901.396964,1796.596928,0.232089,6,3,5,79
17,106210.000000,93792.000000,20,1715.683295,459960.467352,1898.605321,0.267912,6,3,5,80
18,110501.000000,89501.000000,21,1055.623042,124879.424093,1984.149583,0.296300,5,4,5,79
19,122143.000000,77859.000000,23,1292.260160,216087.438074,1860.699377,0.267648,5,4,5,77
20,89031.000000,110971.000000,8,3420.328768,6548051.654115,3229.881465,0.219029,5,4,5,92
21,88369.000000,111633.000000,11,7651.915216,54913248.818186,2709.045702,0.188796,5,4,5,89
22,108692.000000,91310.000000,16,2341.808527,1148402.904204,2010.610632,0.300226,5,4,5,84
23,109846.000000,90156.000000,18,2410.612481,832165.338273,1946.190912,0.380921,5,4,5,82
24,104649.000000,95353.000000,14,925.299475,183170.263835,2165.947870,0.259427,5,4,5,86
25,105272.000000,94730.000000,18,2315.041974,365721.884946,1942.583246,0.234387,5,4,5,82
26,108400.000000,91602.000000,22,2281.503757,706000.564912,1903.727380,0.204673,5,4,5,78
27,117426.000000,82576.000000,22,1775.856286,595770.558570,1800.328724,0.213788,5,4,5,78
28,106111.000000,93891.000000,19,2512.041246,1059787.491196,2003.451593,0.277439,4,4,5,81
29,98120.000000,101882.000000,16,1851.510966,375458.535390,1921.165610,0.286561,4,4,5,84
30,107221.000000,92781.000000,22,2765.347699,1723804.605895,2024.598569,0.277054,4,4,5,78
31,110414.000000,89588.000000,22,2534.463005,1315137.516576,1787.484479,0.290650,4,4,5,78
32,96588.000000,103414.000000,9,15317.761298,290828171.175894,1763.025685,0.315099,4,4,5,91
33,97529.000000,102473.000000,11,6464.575694,19257512.506906,2585.272852,0.261116,4,4,5,89
