generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,num_attacks
1,100701.000000,99301.000000,15,1005.037432,270356.807586,2540.312300,0.303283,1,4,5,85
1,103454.000000,96548.000000,11,5909.515122,19054651.799653,2255.223897,0.310558,1,4,5,89
2,120629.000000,79373.000000,27,1466.717100,280611.862753,1799.977639,0.326742,1,4,5,73
3,85381.000000,114621.000000,8,1510.807802,269371.433736,2811.158467,0.216569,1,4,4,92
4,116997.000000,83005.000000,20,1628.431733,744045.908309,1977.221489,0.269087,1,4,4,80
5,120918.000000,79084.000000,26,1716.024480,1688917.842459,1727.975877,0.364720,1,4,4,74
6,108582.000000,91420.000000,16,1099.890570,129150.819424,1910.309914,0.363481,1,4,4,84
7,110708.000000,89294.000000,20,2043.017531,1210395.001470,1786.579132,0.330838,1,4,4,80
8,104123.000000,95879.000000,17,860.679557,53378.479830,2009.809156,0.275193,1,4,4,83
9,107934.000000,92068.000000,12,2645.543770,7472922.668239,2394.620834,0.319118,1,4,4,88
10,100948.000000,99054.000000,9,4697.522250,4741942.059118,2357.933079,0.196061,1,4,4,91
11,102352.000000,97650.000000,10,1012.237237,331820.683618,2280.104078,0.289752,1,4,4,90
12,92051.000000,107951.000000,5,7036.602978,6407659.985877,3457.277025,0.255024,1,4,4,95
13,82603.000000,117399.000000,7,9383.380825,42073113.885786,3657.658064,0.212909,1,4,4,93
14,111297.000000,88705.000000,24,1036.936404,113280.162142,1684.413271,0.285515,1,4,4,76
15,99216.000000,100786.000000,9,3021.648845,1202425.965366,2263.190664,0.221990,1,4,4,91
16,106291.000000,93711.000000,16,2930.103755,3016497.903924,1907.952432,0.260930,1,4,4,84
17,100976.000000,99026.000000,11,1452.121508,260431.124160,2246.836698,0.259359,1,4,4,89
18,92554.000000,107448.000000,12,994.329004,74053.328628,2311.599648,0.259128,1,4,4,88
19,120807.000000,79195.000000,22,2159.416480,1219280.276445,1808.297281,0.268680,1,4,4,78
