generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,num_attacks
1,85877.000000,114125.000000,3,20814.866091,310514397.166298,3156.434770,0.000000,5,5,5,97
1,116925.000000,83077.000000,20,2025.610049,648324.163662,1851.943663,0.000000,5,5,5,80
2,82127.000000,117875.000000,3,12113.088429,71562967.900113,4041.757619,0.000000,5,5,5,97
3,106461.000000,93541.000000,13,7534.826745,14857184.165341,2029.190961,0.000000,5,5,5,87
4,100789.000000,99213.000000,11,4409.603832,3335293.283163,2008.632591,0.000000,5,5,5,89
5,99937.000000,100065.000000,13,3261.696445,987919.197298,1767.715119,0.000000,5,5,5,87
6,95351.000000,104651.000000,13,2928.860258,551760.340778,2461.859082,0.000000,5,5,5,87
7,95509.000000,104493.000000,9,2085.817734,254958.497826,2686.316998,0.000000,5,5,5,91
8,85511.000000,114491.000000,7,3986.045733,1377618.120368,2960.290977,0.000000,5,5,5,93
9,90461.000000,109541.000000,5,19073.304318,290170377.701473,2960.932047,0.000000,5,5,5,95
10,105177.000000,94825.000000,11,2998.845303,1160154.970888,2373.781381,0.000000,5,5,5,89
11,100854.000000,99148.000000,12,4114.831473,3443106.741255,2152.463889,0.000000,5,5,5,88
12,97623.000000,102379.000000,14,8654.181134,89085764.950309,2092.899738,0.000000,6,4,5,86
13,97786.000000,102216.000000,3,17196.219542,261052870.343328,2137.356516,0.000000,6,4,5,97
14,84675.000000,115327.000000,3,10767.598010,71975946.787253,3240.996807,0.000000,6,4,5,97
15,93712.000000,106290.000000,2,21022.901120,435686341.214395,2326.878805,0.000000,6,4,5,98
16,80708.000000,119294.000000,2,18218.928571,147140929.118273,11431.789324,0.000000,6,4,5,98
17,72737.000000,127265.000000,1,25148.695255,229415071.343945,5465.853150,0.000000,6,4,5,99
18,100978.000000,99024.000000,5,11616.689753,236035565.253099,2648.551338,0.000000,6,4,5,95
19,89124.000000,110878.000000,2,16508.768188,223244215.760636,4160.231461,0.000000,6,4,5,98
20,89567.000000,110435.000000,8,11141.575583,67584090.703729,2403.344423,0.000000,6,4,5,92
21,87824.000000,112178.000000,2,20910.136478,289994579.990515,4876.322625,0.000000,6,4,5,98
22,91463.000000,108539.000000,6,14863.574069,96723914.650517,2932.710176,0.000000,6,4,5,94
23,83241.000000,116761.000000,5,9057.628571,26850129.158122,6326.698353,0.000000,6,4,5,95
24,83790.000000,116212.000000,2,11813.244287,104515484.084717,6219.287851,0.000000,6,4,5,98
25,83686.000000,116316.000000,4,4632.246624,7627008.453824,2982.105269,0.000000,6,4,5,96
26,91955.000000,108047.000000,3,22268.720139,324770069.160701,2969.388679,0.000000,6,4,5,97
27,87068.000000,112934.000000,1,25259.577875,523102309.146546,2136.331790,0.000000,6,4,5,99
28,95992.000000,104010.000000,4,19164.942771,244062222.453109,3601.701494,0.000000,6,4,5,96
29,83275.000000,116727.000000,1,20999.224893,290737789.926651,4245.393074,0.000000,6,4,5,99
30,91619.000000,108383.000000,4,20321.185292,179316660.427976,3637.436271,0.000000,6,4,5,96
31,100880.000000,99122.000000,8,6299.878646,13877280.096608,1783.524811,0.000000,6,4,5,92
32,120469.000000,79533.000000,24,1737.979687,279185.473673,1741.991711,0.000000,6,4,5,76
33,98006.000000,101996.000000,11,6532.233029,14465972.343205,2465.393835,0.000000,6,4,5,89
34,114943.000000,85059.000000,14,7356.730295,13779238.934266,1883.183135,0.000000,6,4,5,86
35,109561.000000,90441.000000,12,1819.700155,186786.860324,1835.216964,0.000000,3,3,5,88
36,112350.000000,87652.000000,18,3383.845224,1288291.918638,2036.991745,0.000000,3,3,5,82
37,92080.000000,107922.000000,8,3329.060434,1965389.398795,2186.012591,0.000000,2,3,5,92
38,89513.000000,110489.000000,0,17069.230031,208908982.176499,1931.586905,0.000000,2,3,5,100
39,96237.000000,103765.000000,5,12979.071300,79500505.396865,2110.810154,0.000000,2,3,5,95
40,89169.000000,110833.000000,0,18012.766810,306208279.812957,1997.425830,0.000000,2,3,5,100
41,77720.000000,122282.000000,0,18176.525026,315933982.215045,1845.959341,0.000000,2,3,5,100
42,82433.000000,117569.000000,1,12063.257374,149286882.274886,12408.444556,0.000000,2,3,5,99
43,80099.000000,119903.000000,0,16540.297644,271860033.214960,1717.036066,0.000000,2,3,5,100
44,85746.000000,114256.000000,0,16680.418918,267740264.062553,1882.538587,0.000000,2,3,5,100
45,86719.000000,113283.000000,0,17424.564134,334798104.707238,1583.754401,0.000000,2,3,5,100
46,62973.000000,137029.000000,0,21141.630643,294595587.040199,1690.345180,0.000000,2,3,5,100
47,68651.000000,131351.000000,1,15691.188096,285840015.751989,5418.763904,0.000000,2,3,5,99
48,75057.000000,124945.000000,0,19682.384612,435293388.318766,1954.171829,0.000000,2,3,5,100
49,79050.000000,120952.000000,1,18456.683338,290448874.791953,4098.652405,0.000000,2,3,5,99
50,84044.000000,115958.000000,2,22313.826911,353113465.498509,10923.633400,0.000000,2,3,5,98
51,94987.000000,105015.000000,1,14095.116254,182996834.700481,9407.238196,0.000000,2,3,5,99
52,76734.000000,123268.000000,0,19659.758496,362392749.099027,1850.953698,0.000000,2,3,5,100
53,85600.000000,114402.000000,0,14078.872407,203530962.997768,1608.335839,0.000000,2,3,5,100
54,82685.000000,117317.000000,0,10520.923416,122290236.017815,1868.171203,0.000000,2,3,5,100
55,94316.000000,105686.000000,2,22212.726713,411479054.681674,3537.472737,0.000000,2,3,5,98
56,81360.000000,118642.000000,0,14146.955251,230272795.936617,3527.230430,0.000000,2,3,5,100
57,75353.000000,124649.000000,1,20287.322202,348916226.711526,11383.265565,0.000000,2,3,5,99
58,93054.000000,106948.000000,2,19622.685375,354575393.027255,4785.277754,0.000000,2,3,5,98
59,98060.000000,101942.000000,1,16972.566785,306264005.838785,3805.259753,0.000000,2,3,5,99
60,77038.000000,122964.000000,0,17085.775237,244117430.010785,1633.048337,0.000000,2,3,5,100
61,75076.000000,124926.000000,0,18592.273842,381408402.763787,1638.007589,0.000000,2,3,5,100
62,75537.000000,124465.000000,0,18267.851257,290702492.173468,1436.493601,0.000000,2,3,5,100
63,77137.000000,122865.000000,0,20038.639029,338295146.906243,2323.762160,0.000000,2,3,5,100
64,77870.000000,122132.000000,1,12343.379410,230476276.524064,4113.257529,0.000000,2,3,5,99
65,68471.000000,131531.000000,0,19669.578512,245865786.322375,2106.383848,0.000000,2,3,5,100
66,83549.000000,116453.000000,0,21464.627948,393187623.750241,1536.319730,0.000000,2,3,5,100
67,80109.000000,119893.000000,0,17791.186990,305810354.524871,1676.317881,0.000000,2,3,5,100
68,78920.000000,121082.000000,1,19918.891856,386514867.694194,5883.467127,0.000000,2,3,5,99
69,79795.000000,120207.000000,0,20213.878723,345193205.671821,1899.492646,0.000000,2,3,5,100
70,73442.000000,126560.000000,0,20255.676094,316498903.431602,1716.703654,0.000000,2,3,5,100
71,87210.000000,112792.000000,2,14441.648779,195703285.432185,1730.835647,0.000000,2,3,5,98
72,83009.000000,116993.000000,0,18577.892082,334537189.221547,1872.724833,0.000000,2,3,5,100
73,84675.000000,115327.000000,0,21603.134157,321399104.070075,1839.362453,0.000000,2,3,5,100
74,74765.000000,125237.000000,0,17997.466808,346263270.002266,1772.110146,0.000000,2,3,5,100
75,74717.000000,125285.000000,0,15807.851764,265018296.476557,1864.517420,0.000000,2,3,5,100
76,84822.000000,115180.000000,0,15055.071132,252276147.919430,4635.234359,0.000000,2,3,5,100
77,81868.000000,118134.000000,0,16010.875837,277859402.548157,1720.792078,0.000000,2,3,5,100
78,94242.000000,105760.000000,1,11846.562694,186892329.726707,3857.820762,0.000000,2,3,5,99
79,90183.000000,109819.000000,0,16328.402292,325686864.491598,1707.149994,0.000000,2,3,5,100
80,83754.000000,116248.000000,0,22187.263907,379794548.914213,1720.705133,0.000000,2,3,5,100
81,77092.000000,122910.000000,0,15007.473949,180553136.575514,3198.902543,0.000000,2,3,5,100
82,91262.000000,108740.000000,1,19076.420290,318327543.039503,1562.358966,0.000000,2,3,5,99
83,86711.000000,113291.000000,0,18278.347013,345799357.470022,1491.639863,0.000000,2,3,5,100
84,86679.000000,113323.000000,1,20558.392022,285385794.458856,1390.599538,0.000000,2,3,5,99
85,87444.000000,112558.000000,0,16554.276567,237833083.161072,1845.248896,0.000000,2,3,5,100
86,85767.000000,114235.000000,0,16451.536514,256569503.121841,1900.801788,0.000000,2,3,5,100
87,82661.000000,117341.000000,0,19321.132890,283323264.017897,3713.297775,0.000000,2,3,5,100
88,90135.000000,109867.000000,4,21422.141523,365486353.438338,1621.447212,0.000000,2,3,5,96
89,90417.000000,109585.000000,2,24348.633958,429722113.913452,1457.199183,0.000000,2,3,5,98
90,89518.000000,110484.000000,1,24215.220099,354826901.996046,4058.155171,0.000000,2,3,5,99
91,79147.000000,120855.000000,0,21420.860719,414267258.722973,1764.102931,0.000000,2,3,5,100
92,70336.000000,129666.000000,0,20591.260552,284983405.407012,1735.548244,0.000000,2,3,5,100
93,93898.000000,106104.000000,1,19214.842638,319132961.166467,1891.504235,0.000000,2,3,5,99
94,69010.000000,130992.000000,0,20539.102054,330217899.694957,2155.599866,0.000000,2,3,5,100
95,82617.000000,117385.000000,0,22921.776038,407627963.421002,3757.991850,0.000000,2,3,5,100
96,91084.000000,108918.000000,5,20361.445645,380965704.571439,3557.421853,0.000000,2,3,5,95
97,80278.000000,119724.000000,0,22629.976938,357584663.823705,2048.248920,0.000000,2,3,5,100
98,84561.000000,115441.000000,0,17485.870969,344998198.516099,3726.704757,0.000000,2,3,5,100
99,82073.000000,117929.000000,0,17481.227446,317647415.115759,1614.060806,0.000000,2,3,5,100
100,78986.000000,121016.000000,0,14898.579363,336719335.126945,1682.096689,0.000000,2,3,5,100
101,91012.000000,108990.000000,0,16399.346846,209029662.231556,1731.900790,0.000000,2,3,5,100
102,81365.000000,118637.000000,0,14885.805145,199227164.153919,1580.457797,0.000000,2,3,4,100
103,81737.000000,118265.000000,4,2889.749214,705404.145492,3239.142596,0.000000,2,3,4,96
104,82940.000000,117062.000000,0,22499.782656,389554942.406924,1659.300318,0.000000,2,3,4,100
105,94735.000000,105267.000000,1,15453.704228,168535038.795848,2395.257140,0.000000,2,3,4,99
106,88289.000000,111713.000000,0,18576.530882,279037385.690488,2029.587991,0.000000,2,3,4,100
