generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,num_attacks
1,103272.000000,96730.000000,13,3012.158497,830013.673483,1914.779269,0.248913,6,0,5,87
1,101209.000000,98793.000000,16,1979.166769,883129.655276,1658.031459,0.231663,6,0,4,84
2,106239.000000,93763.000000,19,4513.525966,6949065.767096,2031.615767,0.277069,6,0,4,81
3,105828.000000,94174.000000,15,4606.310483,9626146.384270,1940.338242,0.316906,6,0,5,85
4,107411.000000,92591.000000,11,12284.205232,114539253.421786,1823.886441,0.232834,6,0,5,89
5,120539.000000,79463.000000,21,4186.883914,8257295.746138,1936.109534,0.319598,6,0,5,79
6,105234.000000,94768.000000,13,1917.461641,1538302.857432,2043.331923,0.254567,6,0,5,87
7,97980.000000,102022.000000,14,3549.794838,2515329.980907,2606.588462,0.196799,5,0,5,86
8,110254.000000,89748.000000,15,1770.527143,468683.410162,1775.778315,0.298332,5,0,5,85
9,89738.000000,110264.000000,8,2140.928849,1303783.713332,2301.971855,0.238030,5,0,5,92
10,126485.000000,73517.000000,32,2583.978593,3331719.066442,1429.270695,0.908576,5,0,5,68
11,125161.000000,74841.000000,34,2468.280214,3120092.744303,1393.699246,0.910608,5,0,5,66
12,121255.000000,78747.000000,27,18759.327827,274174042.081237,864.871001,1.998330,6,0,5,73
13,130324.000000,69678.000000,27,20959.705993,301361128.015648,911.159099,2.221235,5,0,5,73
14,124559.000000,75443.000000,27,25788.348668,354816310.277663,580.409831,2.813548,5,0,8,73
15,126300.000000,73702.000000,31,20326.785821,186766671.945054,750.793844,2.109496,5,0,8,69
16,122041.000000,77961.000000,35,14354.060367,122000673.757373,765.138489,2.134508,5,0,8,65
17,125202.000000,74800.000000,38,18646.170558,224541153.525773,870.497997,3.210494,5,0,8,62
18,116713.000000,83289.000000,30,22094.412374,275870961.799198,646.841913,2.920839,5,0,8,70
19,106792.000000,93210.000000,15,20223.063348,305095683.082349,584.291925,2.990556,5,0,8,85
20,124185.000000,75817.000000,32,21532.380066,235218596.954715,583.035539,3.567609,5,0,8,68
21,131453.000000,68549.000000,35,25718.106444,323122551.664746,522.086445,3.231746,5,0,8,65
22,132955.000000,67047.000000,30,21932.384387,197758433.780979,446.741113,5.004522,5,0,8,70
23,121891.000000,78111.000000,29,22305.076831,214209761.846410,502.948413,4.073757,5,0,8,71
24,135345.000000,64657.000000,38,24743.091536,251542192.998678,487.844629,4.664097,5,0,8,62
25,133728.000000,66274.000000,35,26617.856794,269596611.167771,507.532793,3.573965,5,0,8,65
26,139389.000000,60613.000000,46,25645.969856,296031606.481050,559.388127,5.002462,5,0,8,54
27,137187.000000,62815.000000,41,24150.053118,290166811.587713,497.954034,5.282330,5,1,7,59
28,118417.000000,81585.000000,31,23642.439694,248585233.662393,570.103061,4.794564,5,1,7,69
29,127038.000000,72964.000000,33,22651.219815,230815413.479498,572.301113,4.293803,5,1,7,67
30,133033.000000,66969.000000,36,26090.393938,347439960.593720,481.821130,5.364685,5,1,7,64
31,143295.000000,56707.000000,48,25628.467762,317668232.197892,536.571972,4.703408,5,1,7,52
32,121841.000000,78161.000000,34,31387.472052,379715465.008564,722.279376,4.499392,5,1,7,66
33,128515.000000,71487.000000,33,23197.997544,289716700.073518,595.114645,3.830052,5,1,7,67
34,137208.000000,62794.000000,40,21740.076627,221664366.561718,291.782926,9.603195,6,1,7,60
35,128001.000000,72001.000000,39,22151.423185,278328546.700873,300.007014,9.283793,6,1,7,61
36,129429.000000,70573.000000,32,21030.543783,362726015.791338,280.155335,8.700481,6,1,7,68
37,136674.000000,63328.000000,42,20995.781636,196126882.190861,310.977622,8.040449,6,1,7,58
38,126518.000000,73484.000000,37,19183.235818,206695392.313001,276.726681,8.183233,6,1,7,63
39,132359.000000,67643.000000,42,14062.702426,78058780.374048,955.123782,3.993594,5,0,7,58
40,128365.000000,71637.000000,36,13990.607174,131696296.520946,960.377167,3.445130,5,0,7,64
41,134163.000000,65839.000000,36,20007.238847,293849919.249627,765.487095,7.235684,6,0,7,64
42,135123.000000,64879.000000,48,11465.623190,87583157.626193,915.176655,7.484886,6,0,7,52
43,138915.000000,61087.000000,52,15816.010002,146392079.335387,931.758186,8.534533,6,0,7,48
44,136099.000000,63903.000000,37,6848.828371,17013243.063923,1012.611894,5.658326,6,0,7,63
45,130683.000000,69319.000000,44,10822.838540,140502561.493277,992.775852,8.271048,6,0,7,56
46,133791.000000,66211.000000,43,20256.318932,269900275.043294,1080.425738,9.058255,6,0,7,57
47,135904.000000,64098.000000,45,17498.280561,105971701.276090,799.610966,6.199539,6,0,7,55
48,135521.000000,64481.000000,44,11008.330479,102383530.113508,1011.944708,7.962117,5,1,7,56
49,148658.000000,51344.000000,56,14359.593115,148217321.473391,774.588173,6.754167,5,1,7,44
50,149297.000000,50705.000000,54,14197.862069,111721997.620413,901.340438,8.354906,5,1,7,46
51,141198.000000,58804.000000,47,12821.140799,105317316.651803,913.793429,7.047598,5,1,7,53
52,135861.000000,64141.000000,44,16338.813663,128518037.369812,960.326378,7.595635,5,1,7,56
53,141419.000000,58583.000000,43,12274.756049,121235275.998338,848.569360,6.933632,5,1,7,57
54,135159.000000,64843.000000,37,11311.065222,65188849.139933,892.402055,4.978195,5,1,7,63
55,136638.000000,63364.000000,45,14493.024741,89011860.104267,908.560415,7.195336,5,1,7,55
56,141140.000000,58862.000000,51,11338.224417,44182353.076397,868.846297,6.826968,5,1,7,49
57,126704.000000,73298.000000,34,17838.479752,200970094.278407,888.236727,5.766253,5,1,7,66
58,146362.000000,53640.000000,55,10696.344486,53951686.210648,857.969020,6.511179,5,1,7,45
59,136727.000000,63275.000000,40,9842.734692,38944984.202972,1152.975246,6.696596,5,1,7,60
60,122188.000000,77814.000000,36,8805.259557,56488252.389470,1113.889010,4.798760,5,1,7,64
61,132116.000000,67886.000000,34,11355.841938,70014535.530176,962.575066,4.427825,5,1,7,66
62,120402.000000,79600.000000,27,6945.603986,22338114.806117,1104.759375,4.960477,5,1,7,73
63,115736.000000,84266.000000,15,10644.346922,81529441.876456,1392.356024,4.318712,5,1,7,85
64,121537.000000,78465.000000,35,1323.069378,1228502.997735,1444.886831,0.691557,6,1,6,65
65,109937.000000,90065.000000,17,1763.495775,2707650.952331,1953.198436,0.565482,6,1,6,83
66,124671.000000,75331.000000,25,1088.258830,336730.274099,1574.331030,0.682353,6,1,6,75
67,111254.000000,88748.000000,23,1338.065459,779406.754265,1715.987211,0.677112,6,1,6,77
68,123218.000000,76784.000000,27,1433.932858,1570875.621508,1531.203513,0.710537,6,1,6,73
69,121829.000000,78173.000000,26,1185.672471,568983.881236,1491.928785,0.727163,6,1,6,74
70,116279.000000,83723.000000,23,1268.931494,801546.699876,1627.573255,0.643756,6,1,6,77
71,115349.000000,84653.000000,17,1234.615991,576711.655013,1842.222587,0.638435,6,1,6,83
72,119865.000000,80137.000000,33,855.347191,176089.619936,1426.584993,0.727454,4,0,6,67
73,117374.000000,82628.000000,26,1022.887331,379755.166430,1571.385371,0.663351,4,0,6,74
74,142411.000000,57591.000000,42,529.345618,40462.283077,1141.742746,0.883679,7,0,6,58
75,134328.000000,65674.000000,39,624.088832,61150.185974,1267.250655,0.734433,7,0,6,61
76,114460.000000,85542.000000,29,640.213876,64132.792417,1724.679219,0.600925,7,0,6,71
77,126315.000000,73687.000000,32,607.103108,59932.941401,1417.717027,0.729583,7,0,6,68
78,136380.000000,63622.000000,40,561.323123,66332.711193,1237.050930,0.795203,7,0,6,60
79,125658.000000,74344.000000,29,702.559470,126750.768784,1645.938132,0.586943,10,0,6,71
80,128318.000000,71684.000000,38,684.967832,63076.515765,1424.385995,0.613399,10,0,6,62
81,124221.000000,75781.000000,35,630.059041,66364.127337,1514.690071,0.703406,7,0,4,65
82,126130.000000,73872.000000,37,539.987486,45209.174520,1284.874572,0.906696,7,0,4,63
83,130625.000000,69377.000000,35,626.120149,63010.799180,1407.084153,0.680074,7,0,4,65
84,122772.000000,77230.000000,33,516.994706,39144.017967,1396.830208,0.868827,7,0,4,67
85,130006.000000,69996.000000,35,494.615791,37840.937200,1258.062957,0.953005,7,0,4,65
86,130638.000000,69364.000000,35,586.368826,63549.780635,1337.207968,0.766025,7,0,4,65
87,128452.000000,71550.000000,37,535.509283,39000.363166,1351.803410,0.825853,7,0,4,63
88,123803.000000,76199.000000,30,653.510770,126881.566213,1547.002696,0.674599,7,0,4,70
89,120184.000000,79818.000000,32,805.300860,220808.869682,1524.765128,0.587585,7,0,4,68
90,127971.000000,72031.000000,33,635.440595,67951.255384,1502.915248,0.726534,7,0,4,67
91,117415.000000,82587.000000,29,725.873621,133456.609185,1681.376318,0.638973,7,0,4,71
92,121703.000000,78299.000000,32,579.552496,53602.113532,1501.133214,0.710052,7,0,4,68
93,126929.000000,73073.000000,25,594.700338,74008.739274,1551.015383,0.710680,7,0,4,75
94,129950.000000,70052.000000,30,571.482298,67371.231618,1342.927398,0.777174,7,0,4,70
95,125661.000000,74341.000000,36,607.511205,52166.344980,1342.126297,0.740572,7,0,4,64
96,134052.000000,65950.000000,37,629.082087,63901.253014,1244.021057,0.822595,7,0,4,63
