generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,num_attacks
1,99794.000000,100208.000000,12,2223.248311,437621.985065,2426.438114,0.000000,3,4,5,88
1,105990.000000,94012.000000,15,3452.130317,3453567.634532,2013.299123,0.000000,3,4,5,85
2,114587.000000,85415.000000,19,3475.822774,4173254.509903,2240.206261,0.000000,3,4,5,81
3,102449.000000,97553.000000,22,4965.843297,5977557.233766,1699.659419,0.000000,3,4,5,78
4,87888.000000,112114.000000,6,4396.900576,8392598.375939,3661.150949,0.000000,3,4,5,94
5,91468.000000,108534.000000,3,19968.279278,242883750.160211,2900.288438,0.000000,3,4,5,97
6,87849.000000,112153.000000,7,13285.750886,133289978.054222,3458.042968,0.000000,3,4,5,93
7,86286.000000,113716.000000,2,18988.269879,316503532.320175,2042.250849,0.000000,3,4,5,98
8,83145.000000,116857.000000,2,22428.095849,314200064.837513,5071.524671,0.000000,3,4,5,98
9,76868.000000,123134.000000,0,16037.765868,221934502.507578,1996.091998,0.000000,3,4,5,100
10,72386.000000,127616.000000,0,18221.599481,190506803.828040,2111.731047,0.000000,3,4,5,100
11,86138.000000,113864.000000,2,23932.894938,475842881.080118,3971.960605,0.000000,3,4,5,98
12,76759.000000,123243.000000,1,20647.992589,248680879.439482,4825.475335,0.000000,3,4,5,99
13,93100.000000,106902.000000,6,25507.575234,389022923.965594,2451.393596,0.000000,3,4,5,94
14,92038.000000,107964.000000,2,16762.962411,336078216.115465,1781.073940,0.000000,3,4,5,98
15,80690.000000,119312.000000,2,25607.495062,294129617.137738,7608.082363,0.000000,3,4,5,98
16,72670.000000,127332.000000,1,17940.487380,239131437.455121,2353.456076,0.000000,3,4,5,99
17,94275.000000,105727.000000,5,17353.157407,198026639.775441,2346.891740,0.000000,3,4,5,95
18,86134.000000,113868.000000,4,24385.541381,392378841.622763,2455.774180,0.000000,3,4,5,96
19,77718.000000,122284.000000,0,19966.260148,292489673.589136,2584.661494,0.000000,3,4,5,100
20,88998.000000,111004.000000,5,26536.346990,527327758.068472,2259.063570,0.000000,3,4,5,95
21,83553.000000,116449.000000,1,14891.221620,233046306.423695,2005.552512,0.000000,2,3,5,99
22,90630.000000,109372.000000,7,7576.913625,17370142.107327,2668.915459,0.000000,2,3,5,93
23,86262.000000,113740.000000,1,21792.841340,337696227.058243,7991.194475,0.000000,2,3,5,99
24,74672.000000,125330.000000,1,20423.812353,265435549.810060,6571.045646,0.000000,2,3,5,99
25,82640.000000,117362.000000,3,19885.015612,253951589.684751,5564.808279,0.000000,2,3,5,97
26,83479.000000,116523.000000,1,19071.034977,425224006.770856,10071.593846,0.000000,2,2,5,99
27,81892.000000,118110.000000,7,15338.612926,153837855.068232,2633.015064,0.000000,2,2,5,93
28,82636.000000,117366.000000,0,17089.355805,263263637.158332,1822.776012,0.000000,2,2,5,100
29,79378.000000,120624.000000,1,17871.587075,278652015.163676,6783.562950,0.000000,2,2,5,99
30,84327.000000,115675.000000,2,14494.964985,167593503.562413,4384.697890,0.000000,2,2,5,98
31,88164.000000,111838.000000,0,18376.700669,330537696.572498,1650.551682,0.000000,2,2,5,100
32,82796.000000,117206.000000,4,16368.955327,118421055.704829,5000.371314,0.000000,2,2,5,96
33,75049.000000,124953.000000,2,13872.575285,75331359.404545,14603.158184,0.000000,2,2,5,98
34,80599.000000,119403.000000,4,20682.549859,225214760.381866,3210.850871,0.000000,2,2,5,96
35,73643.000000,126359.000000,1,21119.461092,282382933.367649,3259.859022,0.000000,2,2,5,99
36,88069.000000,111933.000000,8,10330.512428,87174729.845753,3299.846688,0.000000,2,2,5,92
37,77353.000000,122649.000000,1,19639.569240,253301950.637065,2196.768084,0.000000,2,2,5,99
38,83615.000000,116387.000000,4,25739.939804,325533943.014571,4895.922391,0.000000,2,2,5,96
39,93272.000000,106730.000000,6,26690.982114,504693682.751188,2079.158071,0.000000,2,2,5,94
40,73377.000000,126625.000000,0,16465.420252,212297762.639298,1478.741683,0.000000,2,2,5,100
41,85000.000000,115002.000000,2,24676.998175,312962302.778719,7313.643255,0.000000,2,2,5,98
42,68418.000000,131584.000000,2,18309.253856,204887444.420346,6377.444442,0.000000,2,2,5,98
43,75471.000000,124531.000000,3,28176.246809,369795215.991816,5598.886387,0.000000,2,2,5,97
44,82094.000000,117908.000000,1,15800.039709,289642885.155786,2047.746552,0.000000,2,2,5,99
45,76346.000000,123656.000000,1,19533.975690,265372417.447188,9017.427922,0.000000,2,2,5,99
46,88939.000000,111063.000000,2,16558.603128,229800107.755651,1978.714178,0.000000,2,2,5,98
47,91674.000000,108328.000000,6,16100.014870,293958815.725122,2215.164649,0.000000,2,2,5,94
48,109871.000000,90131.000000,17,2943.988682,3715727.222116,1661.841454,0.000000,2,2,5,83
49,90078.000000,109924.000000,2,21912.603490,413988826.577158,5083.739077,0.000000,2,2,5,98
50,75349.000000,124653.000000,1,17958.356270,214016747.128120,4129.367895,0.000000,2,2,5,99
51,77133.000000,122869.000000,0,14723.485653,312469877.839871,1850.237106,0.000000,2,2,5,100
52,92458.000000,107544.000000,3,19376.531771,284512720.283719,2773.954858,0.000000,2,2,5,97
53,86489.000000,113513.000000,2,10599.544268,183385396.525146,2526.633550,0.000000,2,2,5,98
54,63963.000000,136039.000000,2,25329.072683,447832239.157594,11623.687468,0.000000,2,2,5,98
55,89915.000000,110087.000000,2,15340.969929,210140087.580822,4864.384624,0.000000,2,2,5,98
