generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,num_attacks
1,120549.000000,79453.000000,24,2274.957714,714232.942865,1747.822368,0.336307,6,1,5,92
1,121343.000000,78659.000000,27,2221.174031,3006582.041396,1555.918711,0.391259,6,1,5,88
2,136983.000000,63019.000000,43,1326.235915,386423.296870,1406.920957,0.400976,6,1,5,77
3,113858.000000,86144.000000,19,3717.449702,7983102.971212,1792.728598,0.315853,6,1,5,93
4,131758.000000,68244.000000,34,1202.634012,185789.290648,1441.437524,0.357089,6,1,5,76
5,111393.000000,88609.000000,30,2487.649009,796783.977732,1866.280888,0.302669,6,1,5,78
6,123072.000000,76930.000000,34,3603.643138,6254853.205765,1417.045549,0.374863,6,1,5,75
7,122374.000000,77628.000000,35,2718.408567,3003976.958181,1622.755875,0.321174,6,1,5,80
8,94553.000000,105449.000000,14,7462.601511,26292175.729621,2692.372842,0.278894,6,1,5,96
9,122291.000000,77711.000000,26,1752.222870,694717.422657,1579.199149,0.336977,6,1,5,80
10,105556.000000,94446.000000,20,5428.744461,12657627.884580,1981.380452,0.311415,6,2,5,86
11,136818.000000,63184.000000,46,1712.005924,759107.340299,1442.730348,0.439529,6,2,5,72
12,104027.000000,95975.000000,13,2619.184724,657849.083696,1853.329233,0.000000,2,3,5,87
13,122203.000000,77799.000000,30,3523.475435,6247781.400066,1556.485987,0.376306,2,3,5,76
14,124622.000000,75380.000000,27,2088.906933,761930.342872,1742.621340,0.310811,2,3,5,79
15,119348.000000,80654.000000,27,1813.303818,2554908.426664,1881.632539,0.277088,1,2,5,77
16,108546.000000,91456.000000,22,2042.188528,1339325.389520,1409.850859,0.403380,1,1,5,85
17,137987.000000,62015.000000,43,2443.034062,1999956.598846,1472.034309,0.383485,1,2,5,65
18,129067.000000,70935.000000,37,1932.162560,1652220.368291,1434.164256,0.435523,1,2,5,76
19,120599.000000,79403.000000,23,1779.225496,637237.103458,1681.498704,0.378801,1,2,5,84
20,127225.000000,72777.000000,32,2082.819295,1056485.184746,1791.168678,0.268403,1,2,5,75
21,123936.000000,76066.000000,29,1419.647093,534754.765880,1740.376913,0.252329,1,2,5,79
22,112794.000000,87208.000000,19,2712.124687,1462835.164889,1568.237932,0.372545,1,2,5,91
23,123574.000000,76428.000000,28,4813.300867,7869024.563061,1800.393149,0.254227,1,2,5,76
24,113530.000000,86472.000000,21,3655.327211,20266174.478948,1967.187795,0.350043,1,2,5,99
25,114707.000000,85295.000000,21,1199.116899,460224.333633,1862.911510,0.323673,1,2,5,84
26,127947.000000,72055.000000,30,3710.146075,5091687.026611,1616.887704,0.313302,1,2,5,80
27,137832.000000,62170.000000,43,712.942115,76073.969745,1398.455609,0.345117,1,2,5,65
28,136746.000000,63256.000000,36,1680.492625,1125464.148292,1593.224022,0.302170,1,2,5,81
29,115002.000000,85000.000000,19,1679.588749,1709067.004098,1789.164233,0.330429,1,2,5,90
30,134606.000000,65396.000000,34,2025.396664,1038309.870363,1585.488402,0.295937,1,2,5,77
31,118908.000000,81094.000000,25,2579.940087,1975884.086983,1586.282040,0.315853,1,2,5,88
32,110833.000000,89169.000000,22,2731.349615,1587431.482722,1743.054003,0.295412,1,2,5,88
33,134156.000000,65846.000000,37,1212.804105,363672.613170,1550.227221,0.339273,1,2,5,78
34,131745.000000,68257.000000,37,2220.952742,3253061.446019,1595.843319,0.298202,1,2,5,70
35,139162.000000,60840.000000,42,1405.852218,428398.263424,1392.670454,0.390220,1,2,5,76
36,116435.000000,83567.000000,25,2977.083950,4099310.730900,1914.124230,0.284475,1,2,5,84
37,118197.000000,81805.000000,25,3938.275638,9977636.288467,1307.193142,0.430499,1,2,5,87
38,131437.000000,68565.000000,31,2335.139342,722690.371933,1545.752802,0.351351,1,2,5,77
39,111825.000000,88177.000000,14,2292.348559,5708132.488131,1799.007489,0.291072,4,4,5,101
40,128116.000000,71886.000000,35,1964.424140,900998.194121,1586.151755,0.270372,4,4,5,71
41,108685.000000,91317.000000,14,5613.500633,22312955.602516,1540.984448,0.313414,4,4,5,97
42,117425.000000,82577.000000,19,1439.816943,467696.190522,1744.517927,0.335603,4,4,5,93
43,124455.000000,75547.000000,31,1056.954696,279689.338340,1757.980090,0.263814,4,2,5,82
44,130493.000000,69509.000000,37,1359.998071,222877.979205,1401.590045,0.371997,4,2,5,74
45,119724.000000,80278.000000,26,955.434091,614722.653016,1921.274516,0.294645,4,2,5,84
46,130260.000000,69742.000000,30,1569.618027,1123001.984009,1771.768057,0.303431,4,2,5,78
47,126281.000000,73721.000000,30,1042.045991,126274.826103,1618.982721,0.292709,4,2,5,81
48,137514.000000,62488.000000,42,2117.672410,1200886.997657,1413.659488,0.336329,4,2,5,65
49,134738.000000,65264.000000,34,2017.698113,1227784.607741,1644.356840,0.300086,4,2,5,79
50,130896.000000,69106.000000,27,4228.123786,10641012.713724,1395.491058,0.434317,4,2,5,82
51,151598.000000,48404.000000,48,1176.880674,302964.622441,1120.865803,0.860902,4,2,5,70
52,150640.000000,49362.000000,51,1227.420467,547101.487520,1133.297395,0.838323,4,2,5,69
53,153688.000000,46314.000000,52,1184.555093,392923.355920,1074.433180,0.880675,4,2,5,76
54,145928.000000,54074.000000,49,1178.570837,332933.308362,1182.790777,0.792545,4,2,5,68
55,152740.000000,47262.000000,55,1040.320055,236932.632726,1120.403075,0.814230,4,2,5,61
56,133318.000000,66684.000000,34,1409.695058,565619.616900,1367.477540,0.718780,4,2,5,84
57,139461.000000,60541.000000,45,1122.006580,333087.274800,1271.405771,0.751072,4,2,5,78
58,141300.000000,58702.000000,47,1127.030411,268135.701784,1185.756107,0.838168,2,2,5,72
59,149500.000000,50502.000000,54,1093.153232,236607.152373,1136.573633,0.807490,2,2,5,66
60,135787.000000,64215.000000,45,1440.311071,786932.163495,1275.627409,0.743746,2,2,5,78
61,152844.000000,47158.000000,53,1068.720839,290272.499660,1115.570520,0.854018,2,2,5,63
62,144709.000000,55293.000000,42,1319.773792,492248.205466,1243.822929,0.793145,2,2,5,80
63,142588.000000,57414.000000,47,1096.779909,354700.884231,1179.956630,0.794839,2,2,5,74
64,148664.000000,51338.000000,54,1216.081755,542000.551788,1108.014855,0.856174,2,2,5,72
65,142238.000000,57764.000000,49,1194.477122,425333.590870,1219.766203,0.772376,2,2,5,65
66,137852.000000,62150.000000,44,1976.152536,1709950.425137,1181.863984,0.834266,1,2,5,77
67,144136.000000,55866.000000,44,1119.257968,362733.411043,1235.648791,0.789316,1,2,5,76
68,141578.000000,58424.000000,49,1930.877536,1825016.977379,1171.587431,0.809910,1,2,5,70
69,152726.000000,47276.000000,46,1541.706367,1102842.121049,1102.358006,0.922914,1,2,5,72
70,146477.000000,53525.000000,51,1369.345218,980035.408534,1170.429453,0.793787,1,2,6,64
71,150981.000000,49021.000000,53,1448.271254,560439.394196,1132.626155,0.920856,1,2,6,59
72,151983.000000,48019.000000,49,1304.695303,701869.810585,1118.299534,0.853105,1,2,6,77
73,141155.000000,58847.000000,49,1496.397727,811603.685198,1208.503044,0.807557,1,2,6,68
74,141035.000000,58967.000000,45,1465.063624,785319.619419,1203.790001,0.785430,2,2,6,76
75,152101.000000,47901.000000,51,1163.110822,401995.377977,1109.652250,0.799887,2,2,6,76
76,147277.000000,52725.000000,50,1225.210711,488616.806541,1182.411686,0.795103,2,2,6,69
77,137687.000000,62315.000000,39,1453.787633,808512.992685,1227.359580,0.759886,2,2,6,80
78,145794.000000,54208.000000,49,1359.240757,626315.396754,1166.746975,0.791427,2,2,6,73
79,142911.000000,57091.000000,50,1446.453173,856590.500788,1133.114221,0.847017,2,2,6,70
80,155760.000000,44242.000000,56,1232.849678,330260.065993,1083.344456,0.913996,2,2,6,62
81,145489.000000,54513.000000,44,1194.570903,394914.839462,1207.378656,0.804860,2,0,6,73
82,134580.000000,65422.000000,43,1410.759539,1174710.191099,1274.160661,0.732044,2,0,6,70
83,149578.000000,50424.000000,49,1156.430360,336523.577517,1165.033865,0.796037,2,0,6,73
84,148431.000000,51571.000000,51,1126.922900,287333.477155,1115.967240,0.815026,2,0,6,77
85,137283.000000,62719.000000,39,1736.110704,2410122.671290,1289.500230,0.749594,2,0,6,83
86,156104.000000,43898.000000,58,1248.854957,283095.781352,1063.396822,0.900758,2,0,6,69
87,137963.000000,62039.000000,40,1416.987904,707631.744449,1330.335029,0.732488,2,0,6,81
88,136007.000000,63995.000000,44,1019.230179,313202.293570,1302.053966,0.670804,2,0,6,69
89,143668.000000,56334.000000,42,1940.591104,3246483.352654,1221.856535,0.859801,2,0,6,79
90,135169.000000,64833.000000,36,2127.632938,1772197.504405,1171.827225,0.767463,2,0,6,84
