generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,num_attacks
1,111328.000000,88674.000000,20,1816.367347,1558376.805717,1707.177728,0.322097,4,2,5,90
1,111880.000000,88122.000000,18,2128.354047,921990.875896,1646.111060,0.267656,4,2,5,92
2,121527.000000,78475.000000,31,2827.987098,4336667.929471,1772.022532,0.321639,4,2,5,78
3,107429.000000,92573.000000,21,2370.390112,997133.514084,1748.705326,0.348477,5,2,5,92
4,115356.000000,84646.000000,18,4190.388620,8571334.003568,1939.805058,0.231645,5,2,5,90
5,127118.000000,72884.000000,34,1930.508028,699292.112135,1551.643706,0.438826,4,2,5,77
6,126176.000000,73826.000000,27,1821.854484,674134.492446,1614.514679,0.339492,4,2,5,83
7,108306.000000,91696.000000,25,3295.392787,1696533.791403,1916.708018,0.275529,4,2,5,84
8,106897.000000,93105.000000,18,5180.010453,3131231.967390,1679.385681,0.360989,4,2,5,94
9,100173.000000,99829.000000,9,1782.549761,652905.872014,2562.415947,0.257174,4,2,5,95
10,135590.000000,64412.000000,38,2196.502989,1656082.524705,1536.591471,0.336063,4,2,5,76
11,114128.000000,85874.000000,24,3411.762210,2474095.606552,1889.329394,0.266948,5,2,5,86
12,109206.000000,90796.000000,18,1576.744127,395378.333244,1657.133206,0.396649,5,2,5,89
13,123957.000000,76045.000000,30,2182.001528,567669.757950,1430.596410,0.331527,5,2,5,84
14,109995.000000,90007.000000,15,4537.242806,6953439.315650,2018.851117,0.230006,5,2,5,103
15,109366.000000,90636.000000,26,4368.195148,6073908.976991,1984.380379,0.281405,5,2,5,81
16,125325.000000,74677.000000,30,1861.093645,447691.002276,1518.309172,0.368302,5,2,5,81
17,120428.000000,79574.000000,22,1287.797777,109680.465188,1493.008864,0.418272,5,2,5,93
18,132400.000000,67602.000000,22,1833.587141,1359217.049342,1549.283077,0.373398,5,2,5,88
19,125561.000000,74441.000000,29,1036.964518,238397.849999,1598.074799,0.365273,5,2,5,84
20,122304.000000,77698.000000,32,2017.130695,252696.956828,1715.789565,0.375436,5,2,5,81
21,140036.000000,59966.000000,39,1040.684081,227581.431471,1359.633074,0.379527,5,2,5,78
