generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,num_attacks
1,118558.000000,81444.000000,25,3897.891164,3580693.185005,1601.288380,0.353837,7,4,5,88
1,123422.000000,76580.000000,33,1412.321890,289142.841259,1622.924769,0.296215,7,4,5,76
2,117870.000000,82132.000000,26,2050.388928,702875.602588,1757.131947,0.335044,7,4,5,83
3,110768.000000,89234.000000,24,2102.840773,1112385.450205,1981.261476,0.273545,7,4,5,86
4,126594.000000,73408.000000,27,1810.951346,903798.473484,1532.092224,0.242662,7,4,5,84
5,130430.000000,69572.000000,35,1590.644433,964955.049753,1572.707424,0.376622,7,4,5,83
6,109958.000000,90044.000000,20,2889.621246,3025137.892140,1664.981327,0.376090,7,4,5,97
7,105124.000000,94878.000000,18,1500.133447,169996.213612,1887.470732,0.337805,7,4,5,90
8,115981.000000,84021.000000,23,1712.586233,601948.713882,1877.245500,0.241131,7,4,5,89
9,136662.000000,63340.000000,42,1295.110386,294877.686124,1489.820901,0.340973,7,4,5,63
10,106988.000000,93014.000000,17,2932.436268,1981236.629393,2089.674692,0.276912,7,4,5,96
11,116561.000000,83441.000000,23,2085.342029,2474182.074325,1752.732735,0.366261,7,4,5,93
12,106111.000000,93891.000000,15,3299.086100,2579099.646536,1926.938433,0.280275,7,4,5,97
13,113737.000000,86265.000000,24,1244.606177,511460.408289,1962.730202,0.234336,7,4,5,84
14,105992.000000,94010.000000,15,2634.711258,1551450.476366,1842.728599,0.364508,7,4,5,103
15,137359.000000,62643.000000,38,3176.297857,9698869.182541,1293.265165,0.423587,7,4,5,73
16,121836.000000,78166.000000,26,4587.099982,13595857.485918,1856.378943,0.257913,7,4,5,82
17,108466.000000,91536.000000,16,2187.358056,582989.151108,2007.776293,0.298457,7,4,5,96
18,96970.000000,103032.000000,8,3230.794909,8797632.755107,2833.040463,0.178546,5,3,5,100
19,111420.000000,88582.000000,18,5528.804664,11627759.525689,1802.406402,0.273115,5,3,5,97
20,108851.000000,91151.000000,25,2574.278090,3679981.518305,1783.954369,0.346443,5,3,5,87
21,125666.000000,74336.000000,22,2387.296600,3380965.699715,1658.411568,0.258666,3,3,5,88
22,115424.000000,84578.000000,18,2769.229193,2512254.880443,1974.134760,0.317318,3,3,5,90
23,114340.000000,85662.000000,23,2681.323485,2744890.583602,1515.455246,0.389800,3,3,5,94
24,107894.000000,92108.000000,15,1117.906931,117581.382267,1623.194832,0.305871,3,3,5,97
25,112325.000000,87677.000000,19,6473.848777,27733884.824678,1787.769340,0.289001,3,3,5,92
26,103114.000000,96888.000000,15,7734.355507,69103906.369144,2175.262753,0.305712,3,3,5,94
27,122522.000000,77480.000000,25,5194.454530,19745473.687242,1551.225596,0.310120,3,3,5,90
28,130442.000000,69560.000000,33,3763.009559,11052154.994089,1552.971107,0.318210,3,3,5,80
29,108642.000000,91360.000000,13,2769.000346,1861702.339739,1725.956266,0.333411,3,3,5,105
30,126708.000000,73294.000000,28,1299.818143,283140.675905,1563.173220,0.341145,3,3,5,78
31,105719.000000,94283.000000,18,16054.199998,223820689.920158,1602.385194,0.377048,3,3,5,93
32,101206.000000,98796.000000,7,18855.520663,302351976.335428,1534.608116,0.318602,3,3,5,107
33,116435.000000,83567.000000,15,8950.291479,104971884.685513,1868.039133,0.370700,3,3,5,94
