generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,num_attacks
1,109066.000000,90936.000000,25,1847.898922,141470.229718,2016.189213,0.000000,2,2,5,75
1,94860.000000,105142.000000,8,5854.952175,11354389.112271,1804.796167,0.000000,2,2,5,92
2,103623.000000,96379.000000,17,2956.635004,1015056.103519,2338.016920,0.000000,2,2,5,83
3,94697.000000,105305.000000,9,13676.753835,72835765.386905,3066.925295,0.000000,2,2,5,91
4,96437.000000,103565.000000,10,7827.606346,14013344.755323,3107.911486,0.000000,2,2,5,90
5,104356.000000,95646.000000,18,953.508242,437.971186,1930.793450,0.000000,2,2,5,82
6,100637.000000,99365.000000,14,2485.839565,349547.267222,2404.135345,0.000000,2,2,5,86
7,89365.000000,110637.000000,6,6016.094378,10494335.839713,3150.101474,0.000000,2,2,5,94
8,113984.000000,86018.000000,19,4152.663921,5368792.072121,1806.567523,0.000000,2,2,5,81
9,99609.000000,100393.000000,16,1924.236374,457201.489595,1880.166904,0.000000,2,2,4,84
10,87584.000000,112418.000000,7,4289.687576,1667215.441753,3064.289651,0.000000,2,2,4,93
11,105347.000000,94655.000000,21,1615.194240,155826.923652,1863.887359,0.000000,2,2,4,79
12,117697.000000,82305.000000,24,2009.833325,363980.146510,1890.771086,0.000000,2,2,4,76
13,103429.000000,96573.000000,17,6838.796103,21151794.051549,2343.323061,0.000000,2,2,4,83
14,94139.000000,105863.000000,11,7788.629407,19409320.396395,2367.886748,0.000000,2,2,4,89
15,100365.000000,99637.000000,17,6333.855903,13464565.962992,2363.480381,0.000000,2,2,4,83
16,108959.000000,91043.000000,22,2136.765288,548802.093025,1880.016673,0.000000,2,2,4,78
17,106832.000000,93170.000000,13,2842.877142,1060568.823139,2002.401113,0.000000,2,2,4,87
18,93220.000000,106782.000000,9,2999.237951,527056.393462,2164.391937,0.000000,2,2,4,91
19,105970.000000,94032.000000,20,1094.390091,93.285499,1866.223440,0.000000,2,2,4,80
20,102701.000000,97301.000000,16,2311.492459,601785.147902,2214.087982,0.000000,2,2,4,84
21,117202.000000,82800.000000,20,2277.547292,2213495.541455,1662.401469,0.275164,2,2,4,91
22,121084.000000,78918.000000,32,2795.973027,1076014.589125,1357.990346,0.443863,2,2,4,82
23,123863.000000,76139.000000,28,1549.941408,418227.520921,1577.362548,0.319465,2,2,4,84
24,103848.000000,96154.000000,14,2283.662684,912355.810523,1867.770040,0.284622,2,2,4,96
25,138392.000000,61610.000000,37,1552.987009,620259.107403,1405.525810,0.355988,2,2,4,77
26,118917.000000,81085.000000,30,6493.181153,11215297.713026,1651.004866,0.256434,2,2,4,76
27,112986.000000,87016.000000,21,3404.285383,11455079.818076,1800.015679,0.350014,2,2,4,99
28,115760.000000,84242.000000,22,7450.780220,57224612.270815,1622.163955,0.362636,2,2,4,95
29,119893.000000,80109.000000,19,3906.621334,11273450.303126,1756.034299,0.323961,2,2,4,92
30,125498.000000,74504.000000,23,6736.856094,33891581.738092,1690.506473,0.316066,2,2,4,85
31,124788.000000,75214.000000,30,1815.839592,367330.436050,1709.223389,0.276864,2,2,4,77
32,117061.000000,82941.000000,23,3106.403464,7680161.592310,1542.507448,0.429880,2,2,4,85
33,106941.000000,93061.000000,15,5773.872901,23193940.006493,1770.281343,0.282135,2,3,4,96
34,110241.000000,89761.000000,17,1303.458391,330267.972209,1634.701990,0.382404,2,3,4,96
35,125905.000000,74097.000000,26,6086.612759,41619904.515076,1435.337994,0.421922,2,3,4,87
36,110335.000000,89667.000000,20,2532.541085,1237092.288092,1778.438280,0.253873,2,3,4,88
37,124996.000000,75006.000000,30,3516.597423,10233070.014060,1393.579656,0.358689,2,3,4,80
38,113836.000000,86166.000000,19,1723.579512,759964.733704,1744.580996,0.394791,1,3,4,94
39,98135.000000,101867.000000,12,6456.959908,13360753.469290,2630.365703,0.427877,1,3,4,103
40,110556.000000,89446.000000,21,8651.265654,52713812.006597,1924.183758,0.358526,1,3,4,89
41,102215.000000,97787.000000,9,9687.646036,152590283.524882,2209.231836,0.311478,1,3,4,99
42,119888.000000,80114.000000,27,5904.647431,12703621.203759,1981.819305,0.310876,1,3,4,84
43,128431.000000,71571.000000,26,2529.172086,4419257.137809,1527.377694,0.357429,1,3,4,87
44,132279.000000,67723.000000,33,3137.258310,16772306.403578,1574.791254,0.370199,1,3,4,80
45,128137.000000,71865.000000,35,5546.025583,11872695.868122,1439.074501,0.392100,1,3,4,80
46,125181.000000,74821.000000,31,2924.812080,4202833.533945,1743.251944,0.292212,1,3,4,79
47,108399.000000,91603.000000,15,11645.420537,103923849.399796,1785.031607,0.332492,1,3,4,94
48,128629.000000,71373.000000,33,2944.275377,4673502.386738,1509.030432,0.324116,1,3,4,77
49,126308.000000,73694.000000,26,4102.065545,10864774.994931,1665.432567,0.277086,1,3,4,85
50,134643.000000,65359.000000,39,2209.948905,1130662.771110,1430.621996,0.356250,2,3,4,65
51,102819.000000,97183.000000,15,4472.375417,10708328.294977,2049.077415,0.317027,2,3,4,92
52,116998.000000,83004.000000,26,2795.538388,920319.278495,1644.172597,0.313069,2,3,4,86
53,128092.000000,71910.000000,32,1766.908415,507936.523454,1456.263963,0.311257,2,3,4,76
54,124015.000000,75987.000000,29,2091.981662,2766551.430117,1489.523983,0.342534,2,3,4,79
55,128901.000000,71101.000000,35,6188.375886,42578139.034682,1393.957582,0.482249,2,3,4,75
56,110262.000000,89740.000000,23,8045.148967,47618819.908501,1658.966266,0.322065,2,3,4,80
57,128483.000000,71519.000000,31,1989.634159,766586.689477,1570.790809,0.242687,2,3,4,80
58,112920.000000,87082.000000,28,3195.309675,1885045.967727,1790.742755,0.297746,2,3,4,79
59,125868.000000,74134.000000,37,4335.785699,7437110.493884,1658.504096,0.327358,2,3,4,66
60,119400.000000,80602.000000,26,10183.365622,121153706.124616,1545.655367,0.335345,2,3,4,79
61,130393.000000,69609.000000,32,2630.045721,2117264.799610,1373.657480,0.436995,2,3,4,83
62,134261.000000,65741.000000,39,3360.440827,5278554.365435,1645.581709,0.298457,2,3,4,73
63,135357.000000,64645.000000,42,1912.100284,1805565.328689,1483.226543,0.336585,2,3,4,73
64,119760.000000,80242.000000,28,3484.922078,4004601.036192,1623.337716,0.415877,2,3,4,88
65,120287.000000,79715.000000,24,6234.435455,29837951.294495,1882.735762,0.216983,2,3,4,82
66,129264.000000,70738.000000,34,2270.959145,1212420.813331,1461.063478,0.398544,2,3,4,73
67,115130.000000,84872.000000,26,4589.901356,8744268.006992,1724.548945,0.286270,2,3,4,82
68,116145.000000,83857.000000,28,8000.974823,15907025.333617,1685.041727,0.386860,2,3,4,79
69,116788.000000,83214.000000,19,12921.314255,149442182.751133,1563.412371,0.309955,2,3,4,93
70,124205.000000,75797.000000,30,9362.052180,39198141.290698,1435.674026,0.440372,2,3,4,81
71,134114.000000,65888.000000,33,1736.387090,715767.576758,1505.660845,0.430805,2,3,4,80
72,124256.000000,75746.000000,32,5213.387287,19159590.656171,1623.820817,0.331570,2,3,4,80
73,125756.000000,74246.000000,34,3793.857850,6734247.989311,1413.552518,0.413546,2,3,4,77
74,122368.000000,77634.000000,27,2891.408518,1570214.596261,1860.320252,0.302195,2,3,4,82
75,133340.000000,66662.000000,36,7481.891578,55081307.590555,1460.929725,0.331116,2,3,4,75
76,136056.000000,63946.000000,38,2115.615327,921655.199254,1448.948605,0.335235,1,3,4,74
77,118141.000000,81861.000000,24,2081.230023,4115403.311190,1783.716271,0.267530,1,3,4,84
78,135814.000000,64188.000000,40,5609.393302,12511263.577146,1403.530794,0.410278,1,3,4,73
