generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,num_attacks
1,114346.000000,85656.000000,20,3863.806786,1762446.088750,1927.548194,0.000000,3,5,5,80
1,100150.000000,99852.000000,14,5724.675698,7447169.429164,1857.837216,0.000000,3,5,5,86
2,84212.000000,115790.000000,7,13860.600502,90503998.280746,2856.284472,0.000000,3,4,5,93
3,103456.000000,96546.000000,17,2658.250732,957181.667873,2404.033815,0.000000,3,4,5,83
4,113504.000000,86498.000000,20,1107.175874,21618.232722,1768.782783,0.000000,3,4,5,80
5,121627.000000,78375.000000,34,1728.622681,112821.219083,1658.589528,0.000000,3,4,5,66
6,92913.000000,107089.000000,11,2825.175250,763381.965551,2189.543307,0.000000,3,3,5,89
7,95880.000000,104122.000000,12,1697.512339,130564.812196,2782.169956,0.000000,3,3,5,88
8,99477.000000,100525.000000,10,3524.363004,1300522.540343,2730.629217,0.000000,3,3,5,90
9,93822.000000,106180.000000,5,7353.353474,16042506.391119,3997.613017,0.000000,3,3,5,95
10,114718.000000,85284.000000,24,1384.002472,38886.308951,1819.087864,0.000000,3,3,5,76
11,94275.000000,105727.000000,11,6159.456498,11566748.399310,2862.765031,0.000000,3,3,5,89
12,101192.000000,98810.000000,11,3757.498617,3207831.708034,2726.155760,0.000000,3,3,5,89
13,114836.000000,85166.000000,13,3398.408232,3507555.732695,1991.371097,0.000000,3,3,5,87
14,86100.000000,113902.000000,7,5217.777066,3820763.824478,4360.598460,0.000000,3,3,5,93
15,98438.000000,101564.000000,6,3288.980102,1881942.207942,2606.064648,0.000000,3,3,5,94
16,99693.000000,100309.000000,15,4820.198053,2209145.595860,1960.458386,0.000000,3,3,5,85
17,103832.000000,96170.000000,13,1715.937680,67376.043516,2024.346485,0.000000,3,3,5,87
18,91762.000000,108240.000000,8,4067.634984,2420771.196641,2991.383622,0.000000,3,3,5,92
19,95688.000000,104314.000000,21,3688.376222,3179988.361673,2045.437955,0.000000,3,3,4,79
20,108419.000000,91583.000000,18,1949.856506,422158.021135,1861.975647,0.000000,3,2,4,82
21,101109.000000,98893.000000,13,5109.084810,7358257.927968,2497.207696,0.000000,3,2,4,87
22,104306.000000,95696.000000,19,3182.179946,1194679.077669,2223.265342,0.000000,3,2,4,81
23,89568.000000,110434.000000,11,7040.617635,11025703.260409,3366.068362,0.000000,3,2,4,89
24,98391.000000,101611.000000,13,1992.561738,349373.246364,2448.931521,0.000000,3,2,4,87
25,101536.000000,98466.000000,8,3257.206865,2365773.972424,2822.430100,0.000000,3,3,4,92
26,124502.000000,75500.000000,29,3163.541469,2264183.749930,1676.896176,0.345896,4,2,4,90
27,116702.000000,83300.000000,28,2634.831440,2088255.351800,1963.720232,0.296633,4,2,4,86
28,105795.000000,94207.000000,16,3178.201966,2694192.840638,2076.583895,0.334542,4,2,4,99
29,115893.000000,84109.000000,18,1894.846658,618198.012704,1881.164506,0.401235,4,2,4,93
30,112738.000000,87264.000000,22,1263.150043,186457.918604,2267.859915,0.221371,4,2,4,83
31,123068.000000,76934.000000,26,1691.636720,793594.025076,1669.299605,0.341635,4,2,4,80
32,116631.000000,83371.000000,20,933.836857,477242.055448,1637.888491,0.250274,4,2,4,92
33,105770.000000,94232.000000,14,3557.456893,2088043.069508,2229.613210,0.288231,4,2,4,95
34,119253.000000,80749.000000,19,2578.517926,1715488.378704,1896.413525,0.231297,4,2,4,95
35,128263.000000,71739.000000,37,1511.459549,292081.054652,1442.579716,0.354445,4,2,4,72
36,114432.000000,85570.000000,24,2281.535734,2944037.870424,2171.554910,0.227043,4,2,4,89
37,124228.000000,75774.000000,28,2134.626319,1239131.260938,1665.396095,0.335399,4,2,4,85
38,146193.000000,53809.000000,44,1100.085817,198490.592258,1414.760888,0.388060,4,2,4,70
39,122746.000000,77256.000000,34,1760.036118,468009.666534,1685.817950,0.355040,4,2,4,86
40,132317.000000,67685.000000,33,958.930597,195694.098084,1532.046182,0.392106,4,2,4,84
41,122712.000000,77290.000000,33,882.584938,120975.726268,1679.629078,0.356572,4,2,4,75
42,108095.000000,91907.000000,23,3591.647500,2961809.274261,2004.985309,0.329189,4,2,4,86
43,107555.000000,92447.000000,14,4039.769232,3891321.719526,2274.855829,0.316222,4,2,4,97
44,122347.000000,77655.000000,26,1653.970024,822682.045166,1814.247070,0.355036,4,2,4,84
45,138193.000000,61809.000000,44,1597.239753,778001.549870,1512.806003,0.378517,4,2,4,72
46,108100.000000,91902.000000,12,1428.580198,242117.215360,1910.048076,0.314704,4,2,4,99
